Tempo(s),Tensao_Drone(N),Tensao_Rover(N),PosRoverX(m),PosRoverY(m),PosRoverZ(m),Angulo_EixoX_rover(graus),Angulo_EixoY_rover(graus),Angulo_EixoZ_rover(graus),PosDroneX(m),PosDroneY(m),PosDroneZ(m),Angulo_EixoX(graus),Angulo_EixoY(graus),Angulo_EixoZ(graus)
1.800,11.0669,14.4869,-0.7125,0.0032,0.2932,4.7617,-0.1527,4.7642,1.3338,0.0915,1.1799,49.1915,3.1373,49.2232
1.850,12.8098,13.7010,-0.7182,0.0034,0.2932,4.0763,-0.1139,4.0779,1.3257,0.0914,1.1603,53.4782,0.7556,53.4795
1.900,14.5462,10.2613,-0.7239,0.0035,0.2932,3.0389,-0.0567,3.0394,1.3159,0.0913,1.1420,52.1316,-3.3337,52.1600
1.950,14.1545,7.9424,-0.7296,0.0036,0.2933,2.4556,-0.0059,2.4556,1.3047,0.0912,1.1248,50.2843,-0.8667,50.2866
2.000,11.3426,7.4858,-0.7353,0.0037,0.2933,2.3125,0.0222,2.3126,1.2922,0.0911,1.1090,50.4866,5.0127,50.5599
2.050,8.0213,7.8892,-0.7410,0.0039,0.2933,2.5701,0.0202,2.5702,1.2786,0.0911,1.0945,49.3795,5.1598,49.4642
2.100,5.9042,8.0283,-0.7467,0.0041,0.2933,1.8973,-0.0048,1.8973,1.2642,0.0910,1.0813,45.6429,1.6329,45.6541
2.150,5.4203,7.2122,-0.7523,0.0042,0.2933,1.6346,-0.0144,1.6347,1.2492,0.0909,1.0695,43.5222,-1.3471,43.5310
2.200,5.6755,5.8085,-0.7581,0.0044,0.2934,1.2968,0.0064,1.2968,1.2337,0.0909,1.0591,45.4201,-2.9666,45.4574
2.250,6.0070,4.7780,-0.7638,0.0046,0.2934,1.0339,0.0341,1.0344,1.2179,0.0909,1.0501,50.1651,-3.7354,50.2069
2.300,6.3860,4.6651,-0.7696,0.0048,0.2934,0.9553,0.0523,0.9567,1.2021,0.0909,1.0424,54.3628,-4.0688,54.3980
2.350,6.7519,5.4714,-0.7753,0.0050,0.2934,1.0651,0.0472,1.0662,1.1863,0.0908,1.0361,54.9319,-3.8281,54.9616
2.400,7.3420,6.9140,-0.7811,0.0052,0.2934,1.2991,0.0132,1.2992,1.1706,0.0908,1.0312,52.0278,-2.8011,52.0481
2.450,8.5398,8.4628,-0.7869,0.0054,0.2934,1.5515,-0.0335,1.5518,1.1553,0.0908,1.0277,48.0870,-1.4419,48.0943
2.500,10.1287,9.2612,-0.7926,0.0056,0.2933,1.6575,-0.0223,1.6577,1.1404,0.0907,1.0255,44.4435,-0.4547,44.4445
2.550,11.2876,9.0531,-0.7983,0.0058,0.2934,1.5676,0.0593,1.5687,1.1260,0.0907,1.0248,41.2481,-0.2829,41.2485
2.600,11.4113,8.7916,-0.8040,0.0060,0.2934,1.5087,0.1052,1.5124,1.1123,0.0908,1.0254,38.4863,-0.6410,38.4891
2.650,10.3190,8.7232,-0.8098,0.0062,0.2934,1.6270,0.0709,1.6285,1.0993,0.0908,1.0273,36.1777,-0.6978,36.1815
2.700,8.3971,8.5500,-0.8155,0.0064,0.2934,1.6862,-0.0026,1.6862,1.0870,0.0908,1.0305,34.4631,0.0534,34.4632
2.750,6.6470,7.8325,-0.8212,0.0066,0.2934,1.5620,-0.0442,1.5626,1.0756,0.0908,1.0349,34.2171,1.3339,34.2328
2.800,5.7727,6.7305,-0.8270,0.0067,0.2934,1.2952,-0.0500,1.2961,1.0650,0.0908,1.0406,35.7084,2.1566,35.7456
2.850,5.6408,5.6092,-0.8328,0.0069,0.2934,1.0120,-0.0418,1.0128,1.0554,0.0908,1.0476,38.4382,2.0451,38.4664
2.900,5.8781,4.8280,-0.8387,0.0069,0.2934,0.8303,-0.0321,0.8309,1.0466,0.0908,1.0557,41.3592,0.8014,41.3628
2.950,6.1604,4.6777,-0.8444,0.0070,0.2934,0.7567,-0.0257,0.7572,1.0388,0.0908,1.0651,43.1305,-0.9782,43.1353
3.000,6.4500,5.1522,-0.8502,0.0072,0.2934,0.8323,-0.0210,0.8325,1.0320,0.0908,1.0756,43.4198,-1.6717,43.4334
3.050,6.9600,5.9926,-0.8560,0.0073,0.2934,0.9874,-0.0153,0.9875,1.0261,0.0909,1.0872,43.8976,-0.1509,43.8977
3.100,7.7913,6.8014,-0.8617,0.0075,0.2934,1.1441,-0.0098,1.1441,1.0212,0.0909,1.0998,45.1540,2.3985,45.1788
3.150,8.9169,7.2469,-0.8675,0.0076,0.2934,1.2407,-0.0085,1.2407,1.0171,0.0909,1.1135,44.2959,3.0976,44.3399
3.200,9.5588,7.4176,-0.8733,0.0078,0.2934,1.2928,-0.0131,1.2929,1.0140,0.0910,1.1281,40.5146,1.1907,40.5230
3.250,9.8228,7.5894,-0.8791,0.0079,0.2934,1.3602,-0.0147,1.3602,1.0117,0.0910,1.1437,36.1678,-0.4723,36.1696
3.300,9.4591,7.7821,-0.8849,0.0081,0.2934,1.4668,0.0073,1.4668,1.0103,0.0910,1.1603,33.6016,-1.3569,33.6184
3.350,8.6496,7.9228,-0.8907,0.0082,0.2934,1.5805,0.0470,1.5812,1.0096,0.0910,1.1777,32.6372,-1.8021,32.6685
3.400,7.7809,7.8119,-0.8966,0.0084,0.2933,1.6089,0.0613,1.6101,1.0097,0.0911,1.1959,33.3030,-2.0049,33.3403
3.450,7.2669,7.3201,-0.9024,0.0085,0.2933,1.5184,0.0311,1.5187,1.0104,0.0911,1.2150,35.6501,-2.0532,35.6840
3.500,7.2471,6.5501,-0.9082,0.0086,0.2933,1.3617,0.0015,1.3617,1.0118,0.0911,1.2347,39.0747,-1.8868,39.0977
3.550,7.5455,5.8737,-0.9140,0.0087,0.2933,1.2064,-0.0173,1.2065,1.0138,0.0911,1.2552,42.3441,-1.5450,42.3566
3.600,7.9142,5.6514,-0.9198,0.0087,0.2934,1.1439,0.0053,1.1439,1.0163,0.0911,1.2763,44.7616,-1.1601,44.7676
3.650,8.2801,5.9533,-0.9255,0.0088,0.2934,1.1881,0.0465,1.1890,1.0192,0.0911,1.2980,46.3726,-0.9747,46.3764
3.700,8.6922,6.3935,-0.9313,0.0089,0.2934,1.2694,0.0640,1.2710,1.0226,0.0911,1.3203,47.6566,-1.1752,47.6616
3.750,9.1669,6.6895,-0.9370,0.0089,0.2934,1.3797,0.0503,1.3806,1.0263,0.0911,1.3432,48.0112,-1.0428,48.0150
3.800,9.6518,6.9110,-0.9428,0.0090,0.2935,1.4600,0.0149,1.4600,1.0303,0.0911,1.3664,46.4201,0.0147,46.4201
3.850,10.0236,7.2845,-0.9485,0.0091,0.2935,1.6142,-0.0235,1.6144,1.0345,0.0911,1.3901,43.7070,1.1949,43.7138
3.900,10.3035,7.8633,-0.9542,0.0091,0.2935,1.8203,-0.0553,1.8211,1.0389,0.0911,1.4141,41.4427,1.2146,41.4508
3.950,10.5374,8.4960,-0.9600,0.0092,0.2935,2.0158,-0.0737,2.0171,1.0435,0.0911,1.4385,39.6109,0.5049,39.6125
4.000,10.7214,8.9743,-0.9657,0.0092,0.2935,2.1497,-0.0730,2.1509,1.0480,0.0911,1.4632,39.1817,-0.4723,39.1832
4.050,10.8728,9.1870,-0.9714,0.0092,0.2936,2.2052,-0.0581,2.2060,1.0526,0.0911,1.4880,40.8265,-0.2753,40.8270
4.100,11.1928,9.1112,-0.9771,0.0093,0.2936,2.1889,-0.0424,2.1893,1.0572,0.0911,1.5131,44.4561,1.1897,44.4626
4.150,11.7923,8.8763,-0.9829,0.0093,0.2936,2.1350,-0.0376,2.1353,1.0617,0.0911,1.5382,48.3599,2.0340,48.3741
4.200,12.4190,8.6741,-0.9886,0.0093,0.2936,2.0922,-0.0354,2.0925,1.0661,0.0911,1.5635,50.7868,1.2434,50.7912
4.250,12.7961,8.6490,-0.9944,0.0093,0.2936,2.1054,-0.0186,2.1055,1.0703,0.0911,1.5887,51.3532,-0.3489,51.3535
4.300,12.9206,8.8876,-1.0001,0.0093,0.2936,2.1905,0.0099,2.1905,1.0744,0.0912,1.6139,50.3149,-1.5603,50.3221
4.350,12.9670,9.3572,-1.0059,0.0093,0.2936,2.3290,0.0234,2.3291,1.0782,0.0912,1.6391,48.9511,-2.0557,48.9650
4.400,13.0942,9.9729,-1.0116,0.0093,0.2936,2.4841,0.0035,2.4841,1.0818,0.0911,1.6641,48.2012,-1.9442,48.2143
4.450,13.4700,10.5427,-1.0173,0.0093,0.2936,2.6124,-0.0235,2.6125,1.0852,0.0911,1.6889,47.9332,-1.5036,47.9412
4.500,14.1006,10.9632,-1.0231,0.0093,0.2936,2.7160,-0.0050,2.7160,1.0882,0.0911,1.7136,48.0718,-1.0738,48.0758
4.550,14.8909,11.3673,-1.0288,0.0093,0.2936,2.8255,0.0286,2.8257,1.0910,0.0911,1.7381,48.8281,-0.8699,48.8306
4.600,15.7678,11.8230,-1.0345,0.0093,0.2936,2.9376,0.0261,2.9377,1.0935,0.0912,1.7624,49.6290,-0.4420,49.6296
4.650,16.6573,12.1777,-1.0403,0.0093,0.2936,3.0254,-0.0147,3.0254,1.0957,0.0913,1.7862,49.5268,0.3821,49.5273
4.700,17.3318,12.5252,-1.0460,0.0093,0.2936,3.1096,-0.0657,3.1103,1.0976,0.0913,1.8096,48.3117,0.8969,48.3145
4.750,17.7449,12.9865,-1.0517,0.0093,0.2936,3.2134,-0.1025,3.2151,1.0991,0.0913,1.8326,46.4290,0.4940,46.4300
4.800,17.8986,13.5888,-1.0575,0.0092,0.2936,3.3353,-0.1144,3.3373,1.1004,0.0913,1.8552,45.2855,0.2460,45.2857
4.850,17.9638,14.1592,-1.0632,0.0092,0.2937,3.4424,-0.1068,3.4440,1.1014,0.0913,1.8773,45.7731,0.6261,45.7747
4.900,18.1563,14.5236,-1.0689,0.0092,0.2937,3.5096,-0.0954,3.5109,1.1021,0.0913,1.8989,47.5525,1.0726,47.5566
4.950,18.6518,14.6614,-1.0747,0.0091,0.2937,3.5347,-0.0797,3.5356,1.1026,0.0913,1.9200,49.3722,0.8353,49.3744
5.000,19.3281,14.6754,-1.0804,0.0091,0.2937,3.5343,-0.0522,3.5347,1.1028,0.0912,1.9406,50.1688,-0.0218,50.1688
5.050,19.9511,14.7301,-1.0861,0.0090,0.2937,3.5369,-0.0294,3.5370,1.1028,0.0912,1.9605,49.8175,-0.8582,49.8197
5.100,20.3785,15.0179,-1.0919,0.0090,0.2937,3.5720,-0.0288,3.5721,1.1026,0.0911,1.9799,48.8772,-1.2043,48.8820
5.150,20.6595,15.5303,-1.0976,0.0089,0.2937,3.6511,-0.0357,3.6513,1.1022,0.0911,1.9986,47.8266,-1.1565,47.8313
5.200,20.8981,16.1603,-1.1034,0.0089,0.2937,3.7719,-0.0277,3.7720,1.1017,0.0911,2.0167,47.1284,-0.9078,47.1315
5.250,21.2433,16.7362,-1.1091,0.0088,0.2937,3.9111,-0.0170,3.9111,1.1010,0.0910,2.0341,46.8924,-0.5977,46.8938
5.300,21.7486,17.1703,-1.1149,0.0087,0.2937,4.0304,-0.0292,4.0305,1.1002,0.0910,2.0508,46.8383,-0.1345,46.8384
5.350,22.3722,17.4495,-1.1206,0.0087,0.2937,4.1038,-0.0658,4.1043,1.0993,0.0910,2.0667,46.5021,0.2615,46.5024
5.400,22.9648,17.6340,-1.1263,0.0086,0.2937,4.1409,-0.1069,4.1423,1.0983,0.0910,2.0819,45.7321,0.3753,45.7326
5.450,23.3618,17.8829,-1.1321,0.0085,0.2936,4.1722,-0.1341,4.1743,1.0973,0.0910,2.0964,45.0215,0.4366,45.0223
5.500,23.5576,18.2153,-1.1378,0.0084,0.2936,4.2130,-0.1429,4.2155,1.0962,0.0910,2.1101,44.9525,0.5687,44.9539
5.550,23.6355,18.5787,-1.1435,0.0083,0.2936,4.2596,-0.1382,4.2619,1.0952,0.0910,2.1230,45.6054,0.7012,45.6075
5.600,23.7927,18.8625,-1.1491,0.0084,0.2935,4.2980,-0.1215,4.2997,1.0941,0.0909,2.1351,46.4893,0.5265,46.4904
5.650,24.0760,19.0260,-1.1548,0.0084,0.2935,4.3163,-0.0993,4.3175,1.0931,0.0909,2.1464,47.0775,0.1256,47.0776
5.700,24.4477,19.1275,-1.1605,0.0084,0.2935,4.3182,-0.0819,4.3190,1.0920,0.0909,2.1569,47.1476,-0.3123,47.1480
5.750,24.8140,19.2670,-1.1662,0.0085,0.2935,4.3240,-0.0726,4.3246,1.0911,0.0910,2.1666,46.7622,-0.5751,46.7634
5.800,25.1172,19.5020,-1.1719,0.0085,0.2935,4.3584,-0.0654,4.3589,1.0902,0.0910,2.1755,46.2251,-0.6364,46.2267
5.850,25.3444,19.8584,-1.1776,0.0085,0.2935,4.4347,-0.0599,4.4351,1.0893,0.0911,2.1835,45.7896,-0.4834,45.7906
5.900,25.5741,20.2400,-1.1833,0.0085,0.2935,4.6325,-0.0658,4.6329,1.0885,0.0912,2.1907,45.4810,-0.2417,45.4812
5.950,25.8383,20.5698,-1.1890,0.0085,0.2934,4.6326,-0.0845,4.6333,1.0879,0.0912,2.1970,45.2221,0.0273,45.2221
6.000,26.1301,20.8078,-1.1948,0.0085,0.2934,4.6852,-0.1146,4.6865,1.0872,0.0912,2.2025,44.9389,0.2759,44.9392
6.050,26.4252,20.9698,-1.2005,0.0084,0.2934,4.7152,-0.1435,4.7173,1.0867,0.0913,2.2072,44.6842,0.4353,44.6850
6.100,26.6307,21.1095,-1.2062,0.0084,0.2934,4.7302,-0.1622,4.7329,1.0863,0.0913,2.2110,44.7264,0.5938,44.7280
6.150,26.7531,21.2590,-1.2120,0.0083,0.2934,4.7423,-0.1678,4.7452,1.0859,0.0913,2.2140,45.1360,0.6766,45.1380
6.200,26.8338,21.4086,-1.2177,0.0083,0.2934,4.7547,-0.1610,4.7574,1.0856,0.0914,2.2162,45.7385,0.6116,45.7401
6.250,26.9282,21.5246,-1.2235,0.0082,0.2934,4.7632,-0.1460,4.7655,1.0854,0.0914,2.2175,46.2994,0.3899,46.3000
6.300,27.0491,21.6265,-1.2293,0.0081,0.2934,4.7699,-0.1298,4.7716,1.0853,0.0914,2.2181,46.6306,0.1210,46.6307
6.350,27.2043,21.7261,-1.2350,0.0080,0.2935,4.7799,-0.1151,4.7813,1.0852,0.0915,2.2180,46.6811,-0.1032,46.6811
6.400,27.3603,21.8340,-1.2408,0.0079,0.2935,4.8015,-0.1032,4.8026,1.0852,0.0916,2.2169,46.5542,-0.2136,46.5544
6.450,27.4839,22.0005,-1.2466,0.0078,0.2935,4.8472,-0.0980,4.8482,1.0852,0.0916,2.2152,46.3832,-0.1657,46.3834
6.500,27.6181,22.1880,-1.2523,0.0077,0.2934,4.9072,-0.1012,4.9082,1.0853,0.0917,2.2127,46.1977,-0.0361,46.1977
6.550,27.7235,22.3584,-1.2581,0.0075,0.2934,5.0764,-0.1156,5.0777,1.0854,0.0917,2.2094,46.0512,0.1817,46.0513
6.600,27.8503,22.5257,-1.2638,0.0074,0.2934,5.0286,-0.1329,5.0304,1.0856,0.0917,2.2054,45.9496,0.3655,45.9501
6.650,27.9518,22.6107,-1.2696,0.0072,0.2934,5.0474,-0.1532,5.0497,1.0858,0.0917,2.2006,45.9677,0.5079,45.9688
6.700,28.0118,22.6764,-1.2753,0.0071,0.2934,5.0611,-0.1681,5.0639,1.0860,0.0916,2.1952,46.1937,0.6019,46.1951
6.750,28.0397,22.7153,-1.2811,0.0069,0.2934,5.0651,-0.1738,5.0680,1.0862,0.0915,2.1892,46.6155,0.6069,46.6170
