Tempo(s),Tensao_Drone(N),Tensao_Rover(N),PosRoverX(m),PosRoverY(m),PosRoverZ(m),Angulo_EixoX_rover(graus),Angulo_EixoY_rover(graus),Angulo_EixoZ_rover(graus),PosDroneX(m),PosDroneY(m),PosDroneZ(m),Angulo_EixoX(graus),Angulo_EixoY(graus),Angulo_EixoZ(graus)
0.000,1.9670,111.6868,-0.5031,0.0005,0.3073,10.8850,-0.0192,10.8850,0.0914,0.0920,1.9905,0.0000,0.0000,0.0000
0.050,2.7974,7.9634,-0.5091,0.0008,0.3056,0.6509,-0.0094,0.6510,0.0896,0.0919,1.9720,-9.1293,-0.6469,9.1515
0.100,7.0779,4.6064,-0.5152,0.0008,0.3038,-0.3607,-0.0358,0.3624,0.0924,0.0920,1.9577,-19.1358,0.3936,19.1393
0.150,12.9178,1.7483,-0.5210,0.0009,0.3023,-0.1078,0.3720,0.3873,0.1054,0.0922,1.9471,-22.2700,0.5817,22.2761
0.200,12.6556,1.9401,-0.5268,0.0009,0.3010,-0.0202,0.1411,0.1426,0.1294,0.0924,1.9372,-20.7890,0.3904,20.7921
0.250,9.1368,2.6274,-0.5327,0.0010,0.2998,-0.1265,0.0468,0.1349,0.1633,0.0925,1.9261,-16.6411,0.3217,16.6439
0.300,5.1690,2.3809,-0.5386,0.0011,0.2989,-0.0514,-0.0412,0.0659,0.2057,0.0926,1.9129,-6.0113,0.2979,6.0185
0.350,3.6257,6.7013,-0.5445,0.0011,0.2980,-0.1114,-0.0169,0.1127,0.2552,0.0927,1.8975,-1.1582,0.1946,1.1744
0.400,4.9673,3.5615,-0.5503,0.0012,0.2973,0.0096,-0.0125,0.0158,0.3104,0.0928,1.8802,-3.5671,0.0978,3.5684
0.450,7.0318,3.4931,-0.5562,0.0013,0.2967,-0.0190,0.0265,0.0326,0.3703,0.0929,1.8613,2.6650,-0.0543,2.6656
0.500,7.9308,3.9344,-0.5620,0.0013,0.2962,0.0016,0.0144,0.0145,0.4336,0.0930,1.8411,22.6079,0.6002,22.6144
0.550,9.0227,3.8110,-0.5679,0.0014,0.2958,0.0028,0.0123,0.0126,0.4992,0.0930,1.8200,40.7057,0.9659,40.7112
0.600,8.7620,3.8417,-0.5738,0.0014,0.2954,0.0213,0.0028,0.0215,0.5661,0.0931,1.7979,47.9780,-1.7122,47.9884
0.650,7.4558,3.3937,-0.5796,0.0015,0.2951,0.0398,0.0300,0.0499,0.6334,0.0931,1.7750,48.7022,-2.6100,48.7250
0.700,6.1046,2.4756,-0.5855,0.0015,0.2949,0.0226,0.0550,0.0594,0.7000,0.0932,1.7513,46.5438,1.9182,46.5582
0.750,5.6989,2.3074,-0.5914,0.0016,0.2947,0.0158,0.0703,0.0721,0.7654,0.0932,1.7269,43.2708,5.8786,43.4408
0.800,5.6728,1.0694,-0.5972,0.0016,0.2945,0.0038,0.0212,0.0215,0.8288,0.0932,1.7018,37.6794,5.2861,37.8771
0.850,6.6065,2.2049,-0.6031,0.0017,0.2943,-0.0034,-0.0286,0.0288,0.8896,0.0932,1.6761,30.2878,0.5468,30.2911
0.900,7.8454,4.2431,-0.6090,0.0018,0.2942,0.3429,-0.0224,0.3436,0.9474,0.0932,1.6498,25.0270,-4.7060,25.3649
0.950,7.7179,6.6364,-0.6148,0.0019,0.2941,2.1166,0.0231,2.1167,1.0017,0.0932,1.6230,23.9541,-4.3219,24.2588
1.000,8.3812,12.1165,-0.6205,0.0019,0.2940,4.6428,-0.2082,4.6474,1.0522,0.0932,1.5957,19.9712,-3.1925,20.1863
1.050,10.6822,15.2634,-0.6261,0.0020,0.2939,5.6626,0.0814,5.6632,1.0988,0.0931,1.5680,27.9651,4.3497,28.2068
1.100,13.4106,13.5363,-0.6318,0.0022,0.2938,4.9050,0.0064,4.9050,1.1413,0.0931,1.5401,26.6384,2.8156,26.7484
1.150,12.5914,10.0014,-0.6376,0.0023,0.2937,3.4827,-0.0476,3.4830,1.1796,0.0930,1.5119,31.0676,10.8156,32.2942
1.200,10.2895,6.9359,-0.6434,0.0024,0.2936,2.3143,0.0197,2.3144,1.2136,0.0929,1.4837,32.9349,-3.9156,33.0802
1.250,9.8198,5.3975,-0.6492,0.0025,0.2936,1.7041,0.0960,1.7068,1.2434,0.0928,1.4556,36.8338,-5.5167,37.0608
1.300,9.6395,4.6337,-0.6550,0.0026,0.2935,1.3675,0.1319,1.3738,1.2691,0.0927,1.4276,72.1983,-6.4976,72.2095
1.350,11.0892,4.1714,-0.6609,0.0026,0.2935,1.2038,0.1155,1.2093,1.2907,0.0926,1.3999,84.0433,-19.9355,84.0476
1.400,8.4507,4.3838,-0.6667,0.0027,0.2935,1.3778,0.0408,1.3784,1.3085,0.0925,1.3726,77.9905,-10.5183,77.9996
1.450,6.7559,5.4491,-0.6725,0.0027,0.2934,1.8697,-0.0663,1.8709,1.3225,0.0923,1.3457,68.5266,-2.9207,68.5306
1.500,6.3402,6.1441,-0.6783,0.0027,0.2934,2.2696,-0.1894,2.2775,1.3330,0.0922,1.3195,60.2189,-0.0502,60.2189
1.550,6.5859,6.1546,-0.6841,0.0027,0.2933,2.3723,0.0355,2.3726,1.3401,0.0921,1.2940,54.2294,0.3968,54.2297
1.600,7.6757,6.5442,-0.6898,0.0028,0.2933,2.5898,0.2308,2.6000,1.3442,0.0920,1.2693,50.4720,-0.4168,50.4725
1.650,9.4597,7.7177,-0.6955,0.0029,0.2933,2.9762,0.3796,3.0002,1.3453,0.0918,1.2454,48.6281,-1.4356,48.6350
1.700,10.4507,8.6953,-0.7012,0.0030,0.2933,3.4204,0.0014,3.4204,1.3438,0.0917,1.2225,47.9049,-1.1524,47.9096
1.750,10.3655,11.0693,-0.7069,0.0031,0.2933,4.2547,-0.1822,4.2586,1.3399,0.0916,1.2007,47.7011,0.9779,47.7046
