Tempo(s),Tensao_Drone(N),Tensao_Rover(N),PosRoverX(m),PosRoverY(m),PosRoverZ(m),Angulo_EixoX_rover(graus),Angulo_EixoY_rover(graus),Angulo_EixoZ_rover(graus),PosDroneX(m),PosDroneY(m),PosDroneZ(m),Angulo_EixoX(graus),Angulo_EixoY(graus),Angulo_EixoZ(graus)
0.000,1.9670,112.5459,-0.5031,0.0005,0.3073,10.7685,-0.0664,10.7687,0.0914,0.0920,1.9905,0.0000,0.0000,0.0000
0.050,2.7993,4.5414,-0.5091,0.0008,0.3055,0.7161,0.1745,0.7370,0.0896,0.0919,1.9720,-9.1313,-0.6310,9.1524
0.100,7.1337,4.7264,-0.5151,0.0008,0.3038,-0.8319,-1.1486,1.4181,0.0924,0.0920,1.9577,-19.1587,0.4395,19.1630
0.150,13.3848,1.4376,-0.5210,0.0009,0.3023,-0.3342,0.2838,0.4385,0.1054,0.0921,1.9471,-22.3838,0.5372,22.3890
0.200,13.5969,2.9752,-0.5268,0.0009,0.3010,-0.1778,0.0980,0.2030,0.1294,0.0922,1.9372,-21.0660,0.4377,21.0698
0.250,9.6517,1.9457,-0.5327,0.0010,0.2998,0.0488,-0.0438,0.0656,0.1634,0.0923,1.9260,-15.7159,0.3691,15.7198
0.300,5.3988,1.8221,-0.5385,0.0011,0.2989,-0.0648,-0.0379,0.0751,0.2058,0.0923,1.9128,-6.5607,0.3444,6.5696
0.350,3.8870,3.0991,-0.5444,0.0011,0.2981,-0.3790,-0.0328,0.3804,0.2554,0.0923,1.8973,-6.7890,0.1934,6.7917
0.400,5.3886,3.7990,-0.5503,0.0012,0.2973,-0.3129,0.2052,0.3742,0.3107,0.0922,1.8800,-7.3552,-0.1614,7.3569
0.450,7.1396,3.7125,-0.5562,0.0013,0.2967,-0.3112,0.3077,0.4377,0.3707,0.0921,1.8611,13.4325,0.7520,13.4520
0.500,10.9608,4.0620,-0.5620,0.0013,0.2962,-0.1481,0.2907,0.3262,0.4341,0.0921,1.8409,41.9600,-1.2521,41.9684
0.550,13.0774,2.8033,-0.5679,0.0013,0.2958,-0.0856,0.1666,0.1873,0.4998,0.0920,1.8197,50.0243,2.0263,50.0367
0.600,10.3784,2.6936,-0.5737,0.0014,0.2955,0.0208,0.1229,0.1246,0.5668,0.0919,1.7975,51.5204,-3.6767,51.5568
0.650,7.8750,1.9663,-0.5796,0.0014,0.2952,0.0213,0.0129,0.0248,0.6341,0.0918,1.7746,45.6385,1.7215,45.6509
0.700,5.6491,1.8995,-0.5855,0.0015,0.2949,0.0344,-0.0233,0.0415,0.7009,0.0917,1.7509,42.9253,11.5422,43.5985
0.750,4.8080,2.1638,-0.5913,0.0015,0.2947,-0.0129,0.0218,0.0253,0.7663,0.0916,1.7265,41.6076,1.4204,41.6187
0.800,5.5166,2.3229,-0.5972,0.0016,0.2945,-0.1216,0.2846,0.3095,0.8298,0.0914,1.7014,33.6919,-14.8996,35.6725
0.850,7.2492,1.7310,-0.6031,0.0017,0.2943,-0.0573,0.1370,0.1485,0.8907,0.0913,1.6757,21.9861,-16.3849,26.5404
0.900,8.6904,4.9840,-0.6089,0.0018,0.2942,1.2178,0.5958,1.3557,0.9486,0.0912,1.6494,17.6020,-10.7372,20.2847
0.950,9.0747,13.3579,-0.6146,0.0019,0.2940,4.8652,0.1579,4.8677,1.0029,0.0910,1.6225,15.2371,-1.2343,15.2825
1.000,10.2308,17.2502,-0.6202,0.0020,0.2939,6.4063,0.0039,6.4063,1.0536,0.0909,1.5952,14.7643,3.6242,15.1656
1.050,12.3248,16.1181,-0.6259,0.0021,0.2938,5.8331,0.0906,5.8338,1.1002,0.0908,1.5675,18.8934,1.2844,18.9311
1.100,12.1716,11.4209,-0.6317,0.0023,0.2937,3.9049,-0.0335,3.9050,1.1428,0.0906,1.5396,28.1154,1.7805,28.1556
1.150,11.2210,6.4713,-0.6376,0.0024,0.2937,2.1413,-0.0208,2.1414,1.1811,0.0905,1.5114,33.9656,-0.7177,33.9702
1.200,11.3880,4.0263,-0.6435,0.0025,0.2936,1.1919,0.0429,1.1927,1.2151,0.0904,1.4832,46.8889,-14.5320,47.7058
1.250,11.1453,3.7220,-0.6494,0.0025,0.2935,1.0181,0.0438,1.0191,1.2450,0.0902,1.4551,68.1931,28.3881,68.6409
1.300,11.6025,4.6675,-0.6552,0.0026,0.2935,1.2682,-0.0840,1.2710,1.2707,0.0901,1.4271,82.0829,55.1988,82.2349
1.350,8.8629,5.5124,-0.6610,0.0027,0.2935,1.5797,-0.3948,1.6282,1.2924,0.0899,1.3993,78.6880,28.8710,78.7545
1.400,7.1420,5.6298,-0.6668,0.0028,0.2934,1.7154,-0.6426,1.8317,1.3102,0.0898,1.3720,71.0162,9.4964,71.0454
1.450,6.2134,5.5182,-0.6726,0.0029,0.2934,2.0079,-0.5617,2.0848,1.3242,0.0897,1.3452,63.3592,3.9023,63.3726
1.500,5.7875,6.3656,-0.6783,0.0030,0.2934,2.4555,-0.1362,2.4593,1.3347,0.0896,1.3190,55.8693,2.8203,55.8842
1.550,7.0330,7.0076,-0.6840,0.0031,0.2934,2.6929,0.0707,2.6938,1.3419,0.0895,1.2934,50.4627,2.5401,50.4815
1.600,9.4891,7.0595,-0.6898,0.0033,0.2934,2.7557,0.1939,2.7625,1.3460,0.0894,1.2687,48.8097,1.1895,48.8144
1.650,10.3524,8.0924,-0.6955,0.0035,0.2933,3.2005,-0.2189,3.2080,1.3471,0.0893,1.2449,47.8962,-0.2873,47.8965
1.700,9.7982,10.8549,-0.7012,0.0037,0.2933,4.1708,-0.0103,4.1708,1.3456,0.0892,1.2220,47.6787,0.6778,47.6803
1.750,10.6424,14.7108,-0.7069,0.0039,0.2932,4.9155,0.6527,4.9582,1.3416,0.0891,1.2002,52.4160,-1.3421,52.4205
1.800,13.5202,14.4854,-0.7126,0.0042,0.2932,4.3876,0.6531,4.4355,1.3355,0.0890,1.1794,56.0705,-15.0221,56.4947
1.850,15.8456,11.0019,-0.7184,0.0044,0.2931,3.2823,0.3497,3.3008,1.3274,0.0890,1.1598,52.5500,-15.1001,53.1268
1.900,15.2540,8.4278,-0.7242,0.0046,0.2931,2.5983,0.1610,2.6032,1.3176,0.0889,1.1415,46.9443,-4.9214,47.0365
1.950,12.4821,7.9786,-0.7299,0.0048,0.2931,2.6312,0.1040,2.6332,1.3064,0.0889,1.1243,45.8287,2.2504,45.8496
2.000,8.5219,8.6658,-0.7356,0.0049,0.2931,3.0482,0.1110,3.0502,1.2938,0.0888,1.1085,46.6322,2.0393,46.6484
2.050,5.7743,8.8690,-0.7413,0.0049,0.2931,2.6284,0.0687,2.6293,1.2802,0.0888,1.0940,46.4817,-0.5786,46.4831
2.100,5.1846,7.7063,-0.7471,0.0050,0.2931,1.8715,0.0216,1.8716,1.2658,0.0888,1.0808,46.9747,-0.3542,46.9752
2.150,5.7880,5.7746,-0.7528,0.0051,0.2931,1.3307,0.0145,1.3308,1.2508,0.0888,1.0691,50.1735,3.7444,50.2154
2.200,6.4787,4.4400,-0.7586,0.0052,0.2932,0.9678,-0.0037,0.9678,1.2352,0.0888,1.0587,55.0748,10.0090,55.2772
2.250,6.8308,4.4744,-0.7644,0.0053,0.2932,0.9118,-0.0642,0.9141,1.2195,0.0888,1.0497,58.3424,14.0737,58.6438
2.300,6.8163,5.6851,-0.7701,0.0054,0.2932,1.0811,-0.1908,1.0978,1.2036,0.0888,1.0420,57.8148,12.7935,58.0753
2.350,7.1786,7.0008,-0.7759,0.0055,0.2932,1.2838,-0.3229,1.3238,1.1877,0.0889,1.0358,53.9860,6.0911,54.0678
2.400,8.2741,7.8833,-0.7816,0.0056,0.2932,1.4122,-0.3488,1.4546,1.1720,0.0889,1.0309,51.2738,4.9163,51.3401
2.450,9.8709,8.4623,-0.7873,0.0057,0.2932,1.5767,-0.2528,1.5968,1.1567,0.0889,1.0274,47.0024,3.5430,47.0499
2.500,11.0990,8.8290,-0.7931,0.0058,0.2932,1.6217,-0.0562,1.6227,1.1418,0.0889,1.0253,42.3142,2.9040,42.3585
2.550,11.4897,9.2060,-0.7988,0.0060,0.2932,1.7210,0.0485,1.7216,1.1274,0.0890,1.0246,37.9380,1.5054,37.9538
2.600,10.7310,9.6218,-0.8046,0.0062,0.2932,1.8541,0.0382,1.8544,1.1136,0.0890,1.0252,33.7936,0.0881,33.7937
2.650,9.0645,9.6719,-0.8103,0.0063,0.2932,1.9737,0.0749,1.9751,1.1005,0.0891,1.0271,31.8766,-0.8153,31.8833
2.700,7.4171,8.8547,-0.8160,0.0065,0.2932,1.7584,0.1753,1.7671,1.0882,0.0891,1.0304,33.2372,-2.5308,33.2969
2.750,6.4968,7.4485,-0.8218,0.0067,0.2932,1.4065,0.2245,1.4243,1.0768,0.0891,1.0349,37.0842,-6.2646,37.3723
2.800,6.3235,5.8328,-0.8276,0.0069,0.2932,1.0441,0.1746,1.0586,1.0662,0.0892,1.0406,41.8277,-11.6114,42.5599
2.850,6.3786,4.7157,-0.8334,0.0070,0.2932,0.7910,0.1211,0.8002,1.0565,0.0892,1.0476,45.5809,-16.1151,46.6844
2.900,6.2372,4.5078,-0.8392,0.0072,0.2932,0.7360,0.0999,0.7427,1.0477,0.0893,1.0559,47.0269,-16.8663,48.1219
2.950,6.1367,5.0571,-0.8450,0.0073,0.2932,0.8160,0.1007,0.8222,1.0399,0.0894,1.0652,46.7107,-12.9386,47.3646
3.000,6.4515,5.7884,-0.8508,0.0074,0.2933,0.9385,0.1125,0.9452,1.0331,0.0894,1.0757,46.4398,-6.6131,46.6126
3.050,7.1563,6.2413,-0.8566,0.0075,0.2933,1.0052,0.1213,1.0125,1.0272,0.0894,1.0872,46.3770,-2.0046,46.3929
3.100,8.0575,6.4164,-0.8624,0.0077,0.2933,1.0695,0.1218,1.0764,1.0222,0.0895,1.0999,44.3325,-0.7991,44.3354
3.150,8.9905,6.7224,-0.8682,0.0078,0.2933,1.1647,0.1045,1.1694,1.0181,0.0895,1.1137,40.0936,-0.5846,40.0956
3.200,9.6540,7.4311,-0.8740,0.0079,0.2933,1.3531,0.0713,1.3550,1.0150,0.0895,1.1283,36.2206,0.8217,36.2259
3.250,9.6969,8.2750,-0.8798,0.0081,0.2933,1.6235,0.0253,1.6237,1.0127,0.0896,1.1440,33.9025,3.4537,34.0091
3.300,9.1962,8.8144,-0.8856,0.0082,0.2933,1.8061,-0.0762,1.8077,1.0112,0.0896,1.1606,32.4520,5.2765,32.7234
3.350,8.4996,8.8228,-0.8913,0.0083,0.2933,1.8043,-0.2250,1.8183,1.0105,0.0896,1.1781,32.1174,5.7496,32.4460
3.400,7.9711,8.1800,-0.8971,0.0084,0.2933,1.6289,-0.3117,1.6584,1.0106,0.0897,1.1963,34.0746,5.5176,34.3435
3.450,7.7902,6.9671,-0.9029,0.0084,0.2933,1.3722,-0.2745,1.3994,1.0114,0.0897,1.2154,38.0876,5.1153,38.2680
3.500,7.8251,5.9338,-0.9088,0.0085,0.2933,1.1688,-0.1757,1.1819,1.0127,0.0897,1.2352,42.4358,4.9480,42.5632
3.550,7.8554,5.5055,-0.9146,0.0086,0.2933,1.0728,-0.0882,1.0764,1.0147,0.0897,1.2557,45.7924,5.0586,45.8982
3.600,7.8750,5.5505,-0.9204,0.0087,0.2933,1.0701,-0.0350,1.0707,1.0172,0.0897,1.2769,48.6761,4.8142,48.7538
3.650,7.9636,5.8277,-0.9262,0.0088,0.2933,1.1331,-0.0137,1.1331,1.0201,0.0897,1.2986,50.3881,3.5486,50.4251
3.700,8.2602,6.1790,-0.9320,0.0089,0.2933,1.2600,-0.0094,1.2600,1.0235,0.0898,1.3210,49.3288,1.7888,49.3390
3.750,8.8109,6.4912,-0.9377,0.0089,0.2934,1.3532,0.0109,1.3533,1.0272,0.0898,1.3438,46.1716,-0.2308,46.1718
3.800,9.4570,6.8567,-0.9435,0.0090,0.2934,1.4958,0.0697,1.4975,1.0312,0.0898,1.3671,43.0702,-3.0158,43.1155
3.850,10.0678,7.5038,-0.9492,0.0091,0.2934,1.7132,0.1494,1.7197,1.0354,0.0898,1.3908,40.9992,-6.3140,41.2273
3.900,10.5890,8.3344,-0.9549,0.0092,0.2934,1.9662,0.2026,1.9766,1.0398,0.0898,1.4149,39.5696,-8.6753,40.0419
3.950,10.8565,9.0856,-0.9607,0.0093,0.2935,2.1677,0.2033,2.1772,1.0444,0.0898,1.4393,38.7903,-8.4938,39.2659
4.000,10.9614,9.4950,-0.9664,0.0094,0.2935,2.2596,0.1786,2.2667,1.0490,0.0898,1.4640,39.6413,-6.0662,39.8712
4.050,11.2260,9.4711,-0.9721,0.0095,0.2935,2.2403,0.1531,2.2455,1.0536,0.0898,1.4888,42.8237,-3.2047,42.8757
4.100,11.7520,9.1084,-0.9778,0.0096,0.2935,2.1422,0.1164,2.1454,1.0581,0.0898,1.5138,46.6398,-1.4787,46.6483
4.150,12.3284,8.6154,-0.9836,0.0097,0.2936,2.0360,0.0720,2.0373,1.0626,0.0898,1.5390,49.4901,-0.5531,49.4911
4.200,12.6684,8.3745,-0.9893,0.0097,0.2936,2.0176,0.0223,2.0177,1.0670,0.0898,1.5642,51.0103,1.6320,51.0178
4.250,12.6343,8.6019,-0.9950,0.0098,0.2936,2.1140,-0.0555,2.1147,1.0713,0.0897,1.5894,50.7123,4.4466,50.7690
4.300,12.4741,9.1674,-1.0008,0.0098,0.2936,2.2722,-0.1776,2.2791,1.0753,0.0897,1.6147,49.3254,5.7957,49.4327
4.350,12.5068,9.7907,-1.0065,0.0098,0.2936,2.4166,-0.2997,2.4351,1.0791,0.0897,1.6398,48.4587,5.6711,48.5684
4.400,12.9017,10.2011,-1.0122,0.0098,0.2937,2.5058,-0.3254,2.5268,1.0827,0.0897,1.6649,48.3697,5.0188,48.4561
4.450,13.5779,10.4478,-1.0179,0.0097,0.2937,2.5755,-0.2434,2.5870,1.0861,0.0897,1.6898,49.0026,4.2524,49.0617
4.500,14.3812,10.7461,-1.0236,0.0097,0.2937,2.7165,-0.1459,2.7204,1.0892,0.0897,1.7145,50.0513,3.1528,50.0813
4.550,15.2294,11.2162,-1.0293,0.0097,0.2937,2.7995,-0.0719,2.8004,1.0919,0.0897,1.7389,50.4987,1.6481,50.5066
4.600,16.0788,11.8068,-1.0350,0.0097,0.2937,2.9360,0.0038,2.9360,1.0944,0.0897,1.7631,49.7788,-0.5092,49.7796
4.650,16.8796,12.2926,-1.0407,0.0097,0.2937,3.0553,0.0996,3.0570,1.0966,0.0897,1.7870,48.2506,-3.5238,48.2936
