Tempo(s),Tensao_Drone(N),Tensao_Rover(N),PosRoverX(m),PosRoverY(m),PosRoverZ(m),Angulo_EixoX_rover(graus),Angulo_EixoY_rover(graus),Angulo_EixoZ_rover(graus),PosDroneX(m),PosDroneY(m),PosDroneZ(m),Angulo_EixoX(graus),Angulo_EixoY(graus),Angulo_EixoZ(graus)
1.200,9.0880,4.3567,-0.3577,0.0014,0.2935,1.2569,-0.0503,1.2579,1.2211,0.0907,1.4827,22.7923,-0.1455,22.7927
1.250,9.0588,2.5714,-0.3519,0.0013,0.2935,0.5324,0.0014,0.5324,1.2515,0.0905,1.4546,29.2875,5.9117,29.6990
1.300,6.3454,2.9212,-0.3461,0.0012,0.2934,0.5019,0.0395,0.5034,1.2778,0.0903,1.4266,34.7208,3.9595,34.8541
1.350,3.7353,3.3399,-0.3402,0.0012,0.2934,0.5532,0.1174,0.5655,1.3001,0.0902,1.3989,28.1601,5.3240,28.5175
1.400,4.2366,3.5963,-0.3344,0.0012,0.2933,0.6079,0.1370,0.6231,1.3185,0.0900,1.3716,20.5685,2.7666,20.7240
1.450,4.1404,3.9829,-0.3286,0.0013,0.2933,0.7529,0.1307,0.7642,1.3332,0.0899,1.3449,25.8600,7.9317,26.7636
1.500,4.1614,4.6009,-0.3227,0.0014,0.2933,0.9473,0.1113,0.9538,1.3443,0.0897,1.3187,45.2455,-3.8693,45.3097
1.550,6.9211,4.6477,-0.3168,0.0014,0.2934,0.9317,0.0399,0.9325,1.3521,0.0896,1.2932,59.8210,-19.7044,60.3468
1.600,7.9655,4.4309,-0.3109,0.0014,0.2934,0.8808,0.0272,0.8812,1.3568,0.0894,1.2685,53.3296,-11.8336,53.6590
1.650,8.6263,5.3909,-0.3049,0.0015,0.2934,1.0765,0.0196,1.0767,1.3586,0.0893,1.2447,44.9135,-5.1797,45.0314
1.700,9.1908,6.8096,-0.2990,0.0015,0.2934,1.3013,0.1344,1.3082,1.3577,0.0892,1.2218,37.8929,-1.7870,37.9152
1.750,9.3848,6.4954,-0.2931,0.0015,0.2935,1.3417,0.0850,1.3444,1.3544,0.0891,1.2000,29.9584,-0.3075,29.9595
1.800,9.1778,6.7057,-0.2872,0.0015,0.2935,1.7069,-0.1660,1.7149,1.3489,0.0890,1.1793,22.0322,-0.5189,22.0372
1.850,7.8026,6.9041,-0.2813,0.0015,0.2935,1.9365,-0.1833,1.9451,1.3415,0.0889,1.1598,17.1619,-1.0897,17.1925
1.900,5.7778,7.3327,-0.2753,0.0014,0.2936,1.9971,0.0513,1.9978,1.3323,0.0888,1.1414,15.5355,-0.2802,15.5378
1.950,4.4943,6.6854,-0.2694,0.0014,0.2936,1.7483,0.0679,1.7496,1.3217,0.0888,1.1243,16.0300,1.8223,16.1229
2.000,4.3432,5.0299,-0.2635,0.0014,0.2936,1.3270,0.1234,1.3327,1.3097,0.0887,1.1085,17.6441,4.4463,18.1301
2.050,4.6470,3.5569,-0.2576,0.0014,0.2937,0.8502,0.0279,0.8507,1.2968,0.0887,1.0941,19.3965,6.1576,20.2160
2.100,4.8056,3.5980,-0.2517,0.0013,0.2937,0.5252,-0.0478,0.5274,1.2830,0.0886,1.0809,20.3641,6.4970,21.2192
2.150,4.7738,4.9786,-0.2458,0.0013,0.2937,0.5995,-0.1311,0.6137,1.2685,0.0886,1.0692,20.2798,5.0102,20.7952
2.200,5.3124,6.4282,-0.2399,0.0013,0.2937,0.6855,-0.1795,0.7086,1.2536,0.0886,1.0588,20.0778,3.9103,20.3974
2.250,6.6401,7.0302,-0.2340,0.0013,0.2937,0.6978,-0.1626,0.7165,1.2384,0.0886,1.0498,21.9926,2.1033,22.0746
2.300,7.7010,6.8089,-0.2280,0.0013,0.2937,0.6650,-0.1617,0.6844,1.2231,0.0886,1.0422,26.8558,3.1039,26.9876
2.350,8.1726,6.1650,-0.2221,0.0013,0.2937,0.5739,-0.1607,0.5960,1.2078,0.0887,1.0359,32.2050,5.2032,32.4729
2.400,7.3358,5.0977,-0.2162,0.0013,0.2937,0.4717,-0.1168,0.4860,1.1927,0.0887,1.0311,31.9243,-0.3693,31.9257
2.450,6.0051,4.5284,-0.2103,0.0012,0.2937,0.4440,-0.0541,0.4472,1.1779,0.0887,1.0276,27.9833,-3.0334,28.1010
2.500,4.7392,4.6577,-0.2044,0.0012,0.2937,0.3908,-0.0677,0.3966,1.1635,0.0888,1.0255,26.0561,-2.4061,26.1394
2.550,3.8690,4.8504,-0.1985,0.0012,0.2937,0.3450,-0.0908,0.3567,1.1497,0.0888,1.0248,24.4738,-2.0162,24.5383
2.600,4.1427,4.8109,-0.1926,0.0012,0.2937,0.3070,-0.0793,0.3170,1.1365,0.0888,1.0254,21.0288,-2.1861,21.1232
2.650,5.6875,4.4370,-0.1867,0.0011,0.2937,0.2596,-0.0880,0.2741,1.1239,0.0889,1.0273,16.8652,-0.4519,16.8706
2.700,7.1768,4.4967,-0.1808,0.0011,0.2937,0.3161,-0.1146,0.3363,1.1122,0.0889,1.0305,10.8405,0.5418,10.8534
2.750,7.2124,4.8860,-0.1749,0.0011,0.2937,0.3879,-0.0953,0.3995,1.1012,0.0890,1.0350,5.5239,-0.1759,5.5267
2.800,6.0707,5.3207,-0.1690,0.0011,0.2937,0.4738,-0.0861,0.4816,1.0912,0.0890,1.0407,4.3040,-2.4989,4.9722
2.850,4.9546,5.8747,-0.1631,0.0011,0.2937,0.5593,-0.1135,0.5707,1.0820,0.0891,1.0477,5.8902,-3.0155,6.6076
2.900,4.4950,5.7017,-0.1572,0.0011,0.2937,0.5718,-0.0996,0.5804,1.0737,0.0891,1.0559,7.7687,-2.3121,8.0975
2.950,4.7837,5.3307,-0.1513,0.0011,0.2937,0.5237,-0.1201,0.5373,1.0664,0.0892,1.0652,9.2225,-1.0177,9.2766
3.000,5.3962,5.1502,-0.1454,0.0011,0.2937,0.4865,-0.1295,0.5035,1.0601,0.0892,1.0757,10.3212,0.4060,10.3288
3.050,5.7393,5.2473,-0.1396,0.0011,0.2937,0.4849,-0.1100,0.4972,1.0547,0.0893,1.0873,10.5804,0.6037,10.5969
3.100,5.9217,5.3467,-0.1337,0.0011,0.2937,0.4328,-0.0943,0.4429,1.0502,0.0893,1.0999,9.8591,0.9170,9.9000
3.150,6.0491,4.9661,-0.1278,0.0012,0.2937,0.3361,-0.0802,0.3455,1.0466,0.0894,1.1136,9.5998,1.0062,9.6504
3.200,5.9143,4.4546,-0.1220,0.0013,0.2937,0.3000,-0.0620,0.3064,1.0440,0.0894,1.1283,12.2447,2.6909,12.5197
3.250,5.5967,4.2444,-0.1162,0.0014,0.2937,0.2951,-0.0657,0.3023,1.0422,0.0894,1.1439,16.0716,4.7406,16.6885
3.300,5.4154,4.1448,-0.1104,0.0016,0.2936,0.2724,-0.0767,0.2830,1.0412,0.0895,1.1604,16.9530,7.1338,18.2384
3.350,5.4038,4.0594,-0.1045,0.0017,0.2936,0.2367,-0.0730,0.2477,1.0410,0.0895,1.1778,16.1801,7.0292,17.4981
3.400,5.4572,3.9639,-0.0987,0.0018,0.2936,0.2110,-0.0578,0.2187,1.0416,0.0895,1.1961,15.5782,4.8078,16.2359
3.450,5.5953,3.7692,-0.0929,0.0019,0.2936,0.1917,-0.0462,0.1971,1.0428,0.0895,1.2151,14.2671,3.4653,14.6491
3.500,5.9155,3.7900,-0.0871,0.0020,0.2936,0.1915,-0.0449,0.1967,1.0447,0.0896,1.2349,10.8276,1.1808,10.8888
3.550,5.8995,3.8401,-0.0812,0.0021,0.2936,0.2028,-0.0485,0.2086,1.0471,0.0896,1.2554,10.1564,2.6793,10.4897
3.600,5.9339,3.8745,-0.0753,0.0022,0.2935,0.2144,-0.0552,0.2214,1.0501,0.0896,1.2765,9.7124,1.5036,9.8238
3.650,6.0808,3.8891,-0.0695,0.0023,0.2935,0.2272,-0.0578,0.2345,1.0535,0.0896,1.2982,9.3372,0.2537,9.3406
3.700,6.1798,4.1076,-0.0636,0.0024,0.2935,0.2597,-0.0653,0.2678,1.0574,0.0896,1.3206,8.3120,-0.5033,8.3268
3.750,6.0325,4.6326,-0.0578,0.0024,0.2935,0.3139,-0.0827,0.3246,1.0616,0.0896,1.3434,6.6171,-1.0720,6.7019
3.800,5.8271,4.9508,-0.0520,0.0025,0.2934,0.3612,-0.0922,0.3728,1.0661,0.0896,1.3667,4.8406,-1.3756,5.0305
3.850,5.8297,4.8178,-0.0461,0.0026,0.2934,0.3746,-0.0850,0.3841,1.0708,0.0896,1.3903,4.3746,-1.8242,4.7370
3.900,5.9668,4.6001,-0.0402,0.0026,0.2934,0.3612,-0.0789,0.3697,1.0757,0.0896,1.4144,5.6200,-1.6700,5.8598
3.950,6.1188,4.5050,-0.0344,0.0027,0.2934,0.3581,-0.0762,0.3662,1.0807,0.0896,1.4388,7.7813,-1.6498,7.9501
4.000,6.2993,4.3999,-0.0285,0.0027,0.2934,0.3604,-0.0753,0.3682,1.0858,0.0896,1.4634,10.2243,-0.7750,10.2524
4.050,6.4391,4.3665,-0.0227,0.0028,0.2934,0.3491,-0.0766,0.3574,1.0909,0.0896,1.4883,12.3050,-0.2704,12.3078
4.100,6.5522,4.4255,-0.0168,0.0028,0.2934,0.3347,-0.0800,0.3441,1.0960,0.0896,1.5133,13.5814,0.1087,13.5818
4.150,6.5919,4.4400,-0.0109,0.0028,0.2934,0.3220,-0.0793,0.3316,1.1010,0.0896,1.5385,15.1164,-0.7815,15.1348
4.200,6.6137,4.3598,-0.0051,0.0029,0.2934,0.2898,-0.0716,0.2985,1.1059,0.0896,1.5637,15.8857,-1.1357,15.9222
4.250,6.6269,4.1989,0.0008,0.0029,0.2933,0.2634,-0.0637,0.2710,1.1107,0.0896,1.5890,15.2659,-0.3641,15.2699
4.300,6.6663,4.0769,0.0066,0.0029,0.2933,0.2514,-0.0608,0.2587,1.1152,0.0896,1.6142,14.3583,-0.2259,14.3599
4.350,6.6858,3.9957,0.0125,0.0029,0.2933,0.2453,-0.0570,0.2518,1.1196,0.0896,1.6394,13.9811,0.0813,13.9813
4.400,6.6933,3.9322,0.0184,0.0029,0.2933,0.2394,-0.0549,0.2456,1.1237,0.0896,1.6644,13.6284,1.3190,13.6874
4.450,6.7270,3.8572,0.0242,0.0028,0.2933,0.2264,-0.0541,0.2328,1.1276,0.0895,1.6893,13.2178,3.1788,13.5690
4.500,6.7823,3.7431,0.0301,0.0028,0.2933,0.2076,-0.0500,0.2136,1.1312,0.0895,1.7140,12.6972,5.2954,13.6921
4.550,6.8302,3.6549,0.0360,0.0028,0.2933,0.1891,-0.0424,0.1938,1.1345,0.0895,1.7384,12.2761,5.8455,13.5217
4.600,6.8168,3.6025,0.0418,0.0027,0.2933,0.1901,-0.0453,0.1954,1.1375,0.0896,1.7626,12.2482,4.9957,13.1717
4.650,6.8601,3.6354,0.0477,0.0027,0.2933,0.2308,-0.0498,0.2361,1.1402,0.0896,1.7865,11.8927,3.8917,12.4793
4.700,6.8802,3.7763,0.0535,0.0026,0.2933,0.3216,-0.0426,0.3244,1.1426,0.0896,1.8100,11.0476,3.1385,11.4639
4.750,6.9265,3.8905,0.0594,0.0026,0.2933,0.4156,-0.0416,0.4177,1.1447,0.0896,1.8330,10.0843,2.4904,10.3751
4.800,7.1230,3.8395,0.0652,0.0026,0.2933,0.4577,-0.0222,0.4583,1.1465,0.0896,1.8557,7.7059,0.6194,7.7301
4.850,7.1319,3.6371,0.0709,0.0027,0.2934,0.4462,-0.0014,0.4462,1.1480,0.0896,1.8778,8.5992,0.5470,8.6161
4.900,7.1701,3.5581,0.0767,0.0027,0.2934,0.4341,-0.0032,0.4341,1.1493,0.0896,1.8995,7.9228,0.1530,7.9242
4.950,7.1546,3.5814,0.0825,0.0028,0.2934,0.4234,-0.0066,0.4235,1.1502,0.0896,1.9207,7.2048,-0.2717,7.2098
5.000,7.1220,3.5370,0.0883,0.0028,0.2934,0.4017,-0.0058,0.4017,1.1510,0.0896,1.9413,6.7990,-1.5334,6.9666
5.050,7.1351,3.4152,0.0940,0.0029,0.2934,0.3759,-0.0070,0.3760,1.1515,0.0896,1.9613,6.7542,-2.4113,7.1642
5.100,7.1537,3.2649,0.0998,0.0029,0.2934,0.3474,-0.0096,0.3475,1.1518,0.0896,1.9807,6.6453,-2.6660,7.1513
5.150,7.1235,3.1827,0.1056,0.0029,0.2934,0.3304,-0.0055,0.3305,1.1520,0.0896,1.9994,6.3837,-2.9296,7.0138
5.200,7.1135,3.1817,0.1114,0.0029,0.2934,0.3321,0.0168,0.3326,1.1519,0.0896,2.0175,6.5127,-2.6200,7.0115
5.250,7.1910,3.1935,0.1172,0.0030,0.2934,0.3302,0.0549,0.3347,1.1518,0.0896,2.0349,7.9166,-2.6110,8.3257
5.300,7.3469,3.1221,0.1230,0.0030,0.2934,0.3092,0.0841,0.3204,1.1515,0.0897,2.0516,11.1312,-2.8765,11.4791
5.350,7.5590,3.0274,0.1288,0.0030,0.2934,0.2942,0.0839,0.3059,1.1511,0.0897,2.0676,14.2852,-2.7349,14.5239
5.400,7.7087,2.9838,0.1347,0.0030,0.2934,0.2750,0.0784,0.2859,1.1506,0.0897,2.0828,15.2835,-2.5657,15.4779
5.450,7.7188,2.9750,0.1405,0.0031,0.2934,0.2555,0.0707,0.2651,1.1501,0.0897,2.0973,14.4748,-1.8131,14.5786
5.500,7.6754,2.9308,0.1463,0.0031,0.2934,0.2389,0.0578,0.2458,1.1496,0.0897,2.1110,12.9528,-0.8177,12.9769
5.550,7.6138,2.8640,0.1520,0.0032,0.2934,0.2300,0.0375,0.2330,1.1490,0.0897,2.1239,11.4365,-0.2603,11.4394
5.600,7.5263,2.8221,0.1578,0.0032,0.2934,0.2257,0.0181,0.2264,1.1485,0.0897,2.1360,10.4260,0.0108,10.4260
5.650,7.4551,2.7893,0.1636,0.0033,0.2934,0.2227,0.0086,0.2229,1.1479,0.0897,2.1473,9.8721,0.1821,9.8737
5.700,7.4184,2.7513,0.1694,0.0034,0.2934,0.2217,0.0031,0.2217,1.1474,0.0897,2.1578,9.3257,0.3751,9.3330
5.750,7.4130,2.7175,0.1751,0.0035,0.2934,0.2256,-0.0081,0.2258,1.1470,0.0897,2.1675,8.8665,0.4699,8.8786
5.800,7.4651,2.7134,0.1809,0.0036,0.2934,0.2362,-0.0229,0.2373,1.1466,0.0898,2.1763,8.5792,0.3558,8.5864
5.850,7.5881,2.7384,0.1866,0.0036,0.2934,0.2542,-0.0427,0.2578,1.1462,0.0898,2.1843,8.2348,0.2362,8.2381
5.900,7.7366,2.7891,0.1924,0.0037,0.2934,0.3005,-0.0606,0.3066,1.1460,0.0898,2.1915,7.8421,0.6673,7.8698
5.950,7.8401,2.8857,0.1982,0.0038,0.2934,0.4020,-0.0808,0.4101,1.1458,0.0898,2.1979,7.3341,1.9822,7.5917
6.000,7.9246,2.8610,0.2040,0.0038,0.2934,0.4435,-0.0823,0.4511,1.1457,0.0898,2.2034,6.6336,3.1361,7.3257
6.050,7.9446,2.7133,0.2098,0.0039,0.2934,0.4051,-0.0660,0.4104,1.1457,0.0899,2.2081,5.8509,3.7864,6.9550
6.100,7.9164,2.7655,0.2156,0.0040,0.2934,0.3867,-0.0564,0.3907,1.1458,0.0899,2.2119,5.2522,3.9507,6.5589
6.150,7.7664,2.8257,0.2214,0.0040,0.2934,0.3587,-0.0440,0.3614,1.1459,0.0900,2.2150,5.0328,4.0439,6.4432
6.200,7.6497,2.7182,0.2272,0.0041,0.2934,0.3068,-0.0268,0.3080,1.1461,0.0900,2.2172,5.1487,3.8959,6.4440
6.250,7.6040,2.6175,0.2330,0.0041,0.2934,0.2673,-0.0130,0.2676,1.1464,0.0901,2.2185,5.4425,3.1320,6.2701
6.300,7.5272,2.5859,0.2388,0.0042,0.2934,0.2521,-0.0044,0.2522,1.1468,0.0901,2.2191,5.8974,2.1422,6.2692
6.350,7.4719,2.5895,0.2446,0.0043,0.2934,0.2440,0.0010,0.2440,1.1472,0.0902,2.2189,6.6174,1.2867,6.7392
6.400,7.4760,2.6144,0.2504,0.0043,0.2934,0.2399,0.0049,0.2399,1.1477,0.0903,2.2179,7.3922,0.6975,7.4243
6.450,7.6277,2.6356,0.2562,0.0044,0.2934,0.2341,0.0084,0.2343,1.1483,0.0903,2.2160,8.4574,-0.0523,8.4575
6.500,7.7963,2.6496,0.2620,0.0045,0.2933,0.2336,0.0110,0.2338,1.1489,0.0903,2.2136,10.4683,-1.2213,10.5362
6.550,7.9442,2.6670,0.2679,0.0045,0.2933,0.2296,0.0083,0.2298,1.1495,0.0903,2.2103,12.2654,-2.4638,12.4959
6.600,7.9418,2.6811,0.2737,0.0046,0.2933,0.2231,0.0015,0.2231,1.1502,0.0903,2.2063,12.2073,-3.1483,12.5835
6.650,7.8657,2.6670,0.2795,0.0047,0.2933,0.2174,-0.0009,0.2174,1.1509,0.0903,2.2015,10.5979,-3.1893,11.0467
6.700,7.7549,2.6585,0.2854,0.0047,0.2933,0.2005,0.0066,0.2006,1.1516,0.0903,2.1961,8.7457,-2.8738,9.1919
6.750,7.6240,2.6601,0.2912,0.0048,0.2933,0.1911,0.0211,0.1923,1.1523,0.0903,2.1901,7.3354,-2.5227,7.7482
6.800,7.5049,2.6589,0.2970,0.0049,0.2933,0.1855,0.0362,0.1890,1.1530,0.0902,2.1834,6.3779,-2.2285,6.7499
6.850,7.4373,2.6715,0.3029,0.0050,0.2933,0.1787,0.0482,0.1851,1.1538,0.0901,2.1761,5.8034,-1.9690,6.1240
6.900,7.4073,2.6606,0.3087,0.0050,0.2933,0.1777,0.0598,0.1875,1.1545,0.0901,2.1682,5.5295,-1.6064,5.7554
6.950,7.4585,2.6674,0.3146,0.0051,0.2933,0.1777,0.0685,0.1904,1.1553,0.0900,2.1598,5.3491,-1.2464,5.4908
7.000,7.4929,2.7038,0.3205,0.0052,0.2933,0.1846,0.0709,0.1977,1.1560,0.0899,2.1507,5.1292,-0.8398,5.1968
7.050,7.5477,2.7548,0.3263,0.0053,0.2933,0.2053,0.0653,0.2154,1.1567,0.0898,2.1412,4.9375,-0.4977,4.9623
7.100,7.7036,2.8481,0.3322,0.0054,0.2933,0.2335,0.0516,0.2391,1.1574,0.0898,2.1312,4.9509,-0.1549,4.9533
7.150,7.6734,2.9472,0.3381,0.0054,0.2933,0.2809,0.0399,0.2837,1.1581,0.0897,2.1208,4.4808,-1.0436,4.5998
7.200,7.6363,3.0218,0.3439,0.0055,0.2933,0.3188,0.0220,0.3196,1.1588,0.0897,2.1099,4.7373,0.1517,4.7397
7.250,7.5899,2.9774,0.3498,0.0056,0.2933,0.3090,-0.0057,0.3090,1.1595,0.0897,2.0986,4.5792,0.5973,4.6176
7.300,7.5562,2.9797,0.3557,0.0057,0.2933,0.2894,-0.0335,0.2913,1.1601,0.0897,2.0870,4.3190,0.6728,4.3707
7.350,7.4994,3.0504,0.3616,0.0057,0.2933,0.2580,-0.0541,0.2636,1.1608,0.0897,2.0750,4.2135,0.4258,4.2348
7.400,7.3541,3.0157,0.3676,0.0058,0.2933,0.2159,-0.0547,0.2228,1.1614,0.0897,2.0626,3.9806,1.2739,4.1782
7.450,7.2835,2.9629,0.3735,0.0059,0.2933,0.1801,-0.0553,0.1884,1.1620,0.0897,2.0500,4.0729,0.6728,4.1277
7.500,7.2350,2.9578,0.3794,0.0060,0.2933,0.1583,-0.0594,0.1691,1.1626,0.0897,2.0370,4.2056,0.9888,4.3194
7.550,7.2304,2.9851,0.3853,0.0060,0.2933,0.1485,-0.0484,0.1562,1.1632,0.0897,2.0238,4.3746,1.6506,4.6734
7.600,7.2419,3.0169,0.3912,0.0061,0.2933,0.1433,-0.0421,0.1494,1.1637,0.0897,2.0105,4.5463,2.0612,4.9882
7.650,7.2758,3.0568,0.3972,0.0061,0.2933,0.1407,-0.0407,0.1464,1.1643,0.0896,1.9969,5.1078,3.1156,5.9745
7.700,7.3191,3.0952,0.4031,0.0062,0.2933,0.1395,-0.0296,0.1426,1.1648,0.0896,1.9832,5.7486,4.1210,7.0571
7.750,7.3492,3.1308,0.4091,0.0062,0.2933,0.1379,-0.0178,0.1391,1.1654,0.0897,1.9694,6.5857,4.5345,7.9734
7.800,7.3496,3.1565,0.4150,0.0063,0.2933,0.1355,-0.0051,0.1356,1.1659,0.0897,1.9555,7.6700,4.1387,8.6921
7.850,7.3119,3.1813,0.4210,0.0063,0.2933,0.1326,0.0006,0.1326,1.1664,0.0897,1.9415,8.6514,3.4688,9.3015
7.900,7.2357,3.2078,0.4270,0.0064,0.2934,0.1311,0.0029,0.1312,1.1669,0.0897,1.9275,8.9318,2.6464,9.3035
7.950,7.1432,3.2348,0.4329,0.0064,0.2933,0.1280,-0.0014,0.1280,1.1674,0.0897,1.9135,8.3676,1.7325,8.5401
8.000,7.0727,3.2634,0.4389,0.0064,0.2933,0.1264,-0.0036,0.1264,1.1679,0.0898,1.8995,7.3775,0.9226,7.4337
8.050,7.0480,3.2824,0.4449,0.0063,0.2933,0.1271,-0.0024,0.1271,1.1684,0.0898,1.8855,6.2153,-0.1912,6.2182
8.100,7.0603,3.3076,0.4509,0.0062,0.2933,0.1302,0.0003,0.1302,1.1688,0.0899,1.8716,5.1365,-1.0658,5.2447
8.150,7.0965,3.2244,0.4569,0.0062,0.2933,0.1249,0.0048,0.1250,1.1693,0.0899,1.8578,4.3093,-1.4627,4.5490
8.200,6.9454,3.2376,0.4629,0.0061,0.2933,0.1249,0.0079,0.1252,1.1698,0.0900,1.8441,3.5875,-2.0108,4.1100
8.250,6.8228,3.2114,0.4689,0.0061,0.2933,0.1217,0.0088,0.1221,1.1703,0.0901,1.8306,3.0006,-2.5896,3.9605
8.300,6.7377,3.1945,0.4750,0.0060,0.2933,0.1219,0.0042,0.1220,1.1708,0.0902,1.8172,2.6274,-2.8054,3.8408
8.350,6.7167,3.2300,0.4810,0.0060,0.2933,0.1247,0.0019,0.1247,1.1713,0.0903,1.8040,2.4014,-2.8404,3.7170
8.400,6.7153,3.2492,0.4870,0.0060,0.2933,0.1252,-0.0003,0.1252,1.1717,0.0903,1.7909,2.2380,-2.8688,3.6362
8.450,6.7342,3.2501,0.4930,0.0059,0.2934,0.1215,-0.0063,0.1217,1.1722,0.0903,1.7780,2.1090,-2.8651,3.5555
8.500,6.6785,3.2763,0.4990,0.0059,0.2934,0.1254,0.0006,0.1254,1.1727,0.0904,1.7655,2.1601,-2.7103,3.4638
8.550,6.6462,3.5532,0.5050,0.0058,0.2934,0.1535,0.0255,0.1557,1.1732,0.0904,1.7532,2.1330,-1.8040,2.7925
8.600,6.6105,3.9339,0.5110,0.0057,0.2934,0.2042,0.0606,0.2130,1.1737,0.0904,1.7412,0.7796,-1.8663,2.0223
8.650,6.7002,3.8575,0.5170,0.0056,0.2934,0.2520,0.1008,0.2714,1.1742,0.0904,1.7295,0.0219,-1.3273,1.3275
8.700,6.7932,3.4760,0.5230,0.0056,0.2934,0.2052,0.0938,0.2256,1.1747,0.0904,1.7181,0.2164,-0.7228,0.7545
8.750,6.8067,3.5574,0.5290,0.0055,0.2935,0.1759,0.0691,0.1890,1.1752,0.0905,1.7072,0.9252,-0.3406,0.9859
8.800,6.7546,3.8152,0.5349,0.0054,0.2935,0.1754,0.0510,0.1827,1.1757,0.0905,1.6966,1.6418,0.0889,1.6442
8.850,6.6315,3.9046,0.5409,0.0053,0.2935,0.1815,0.0399,0.1858,1.1762,0.0906,1.6863,2.2302,0.6153,2.3134
8.900,6.4636,3.7051,0.5469,0.0052,0.2935,0.1716,0.0402,0.1762,1.1767,0.0906,1.6763,2.2766,0.7073,2.3837
8.950,6.3136,3.5681,0.5528,0.0052,0.2935,0.1605,0.0612,0.1717,1.1772,0.0906,1.6668,2.6359,1.4014,2.9844
