Tempo(s),Tensao_Drone(N),Tensao_Rover(N),PosRoverX(m),PosRoverY(m),PosRoverZ(m),Angulo_EixoX_rover(graus),Angulo_EixoY_rover(graus),Angulo_EixoZ_rover(graus),PosDroneX(m),PosDroneY(m),PosDroneZ(m),Angulo_EixoX(graus),Angulo_EixoY(graus),Angulo_EixoZ(graus)
0.000,1.9670,89.5055,-0.4970,0.0003,0.3073,6.8517,0.0534,6.8519,0.0914,0.0920,1.9905,0.0000,-0.0000,0.0000
0.050,2.9777,8.9628,-0.4915,0.0006,0.3055,-0.1594,-0.2739,0.3169,0.0896,0.0919,1.9720,-9.0605,-0.6219,9.0811
0.100,8.0451,2.0694,-0.4858,0.0006,0.3038,-0.3826,0.0664,0.3883,0.0924,0.0921,1.9577,-18.9700,0.4329,18.9743
0.150,14.0464,2.0122,-0.4801,0.0006,0.3024,-0.2130,0.0877,0.2304,0.1054,0.0922,1.9470,-22.3851,0.5395,22.3904
0.200,13.5020,1.7807,-0.4745,0.0005,0.3011,-0.3533,-0.1449,0.3819,0.1294,0.0923,1.9371,-21.4075,0.4390,21.4113
0.250,8.8192,2.0204,-0.4688,0.0005,0.3000,-0.1255,-0.0223,0.1275,0.1634,0.0924,1.9259,-14.7152,0.3873,14.7198
0.300,4.0911,1.6992,-0.4630,0.0006,0.2990,-0.0317,0.0238,0.0397,0.2059,0.0925,1.9126,-5.0268,0.3483,5.0387
0.350,2.6974,1.9185,-0.4573,0.0006,0.2982,-0.2011,-0.1553,0.2541,0.2555,0.0925,1.8971,-2.4698,0.1996,2.4779
0.400,4.4172,4.1531,-0.4515,0.0007,0.2975,-0.5160,0.0392,0.5175,0.3109,0.0924,1.8797,-4.8771,-0.0772,4.8777
0.450,6.9707,3.1583,-0.4458,0.0008,0.2969,-0.3966,0.0524,0.4001,0.3710,0.0924,1.8608,5.8251,0.1389,5.8267
0.500,9.9323,3.5644,-0.4399,0.0009,0.2963,-0.3558,0.1316,0.3793,0.4345,0.0923,1.8405,36.1201,0.1694,36.1203
0.550,14.4336,3.8105,-0.4341,0.0010,0.2959,-0.2288,0.0389,0.2321,0.5004,0.0923,1.8193,51.8899,0.1181,51.8899
0.600,12.6274,2.4912,-0.4283,0.0011,0.2955,-0.1144,-0.0482,0.1241,0.5676,0.0922,1.7971,48.8816,-0.9550,48.8846
0.650,9.4035,2.5620,-0.4224,0.0012,0.2952,-0.1253,-0.0060,0.1255,0.6352,0.0921,1.7741,47.3965,-5.1651,47.4948
0.700,4.8218,2.2665,-0.4166,0.0013,0.2949,-0.0062,0.0013,0.0063,0.7022,0.0920,1.7504,44.9365,7.8953,45.2106
0.750,2.4870,2.8540,-0.4107,0.0014,0.2947,-0.0613,0.0374,0.0718,0.7680,0.0919,1.7260,36.1397,11.5285,37.1703
0.800,3.8703,3.3262,-0.4049,0.0014,0.2945,-0.0137,0.0676,0.0690,0.8318,0.0918,1.7008,27.5638,6.5079,28.1157
0.850,6.5413,3.7774,-0.3990,0.0015,0.2943,-0.0508,0.0655,0.0829,0.8931,0.0917,1.6751,21.7684,-0.0249,21.7684
0.900,10.5132,2.5113,-0.3932,0.0016,0.2942,0.0568,-0.0210,0.0605,0.9514,0.0916,1.6488,22.0897,-0.3072,22.0915
0.950,13.5848,1.7187,-0.3873,0.0016,0.2941,-0.0459,0.0915,0.1024,1.0062,0.0914,1.6219,20.5929,-0.1606,20.5934
1.000,11.3688,4.9601,-0.3815,0.0016,0.2939,0.3250,-0.5911,0.6745,1.0573,0.0913,1.5946,21.0473,2.7340,21.1944
1.050,6.9431,16.3159,-0.3755,0.0015,0.2938,5.2519,-0.1922,5.2553,1.1045,0.0912,1.5670,15.7882,2.9390,16.0332
1.100,5.3111,15.8045,-0.3694,0.0014,0.2937,5.3171,0.0672,5.3175,1.1476,0.0910,1.5390,18.5435,-0.7888,18.5580
1.150,7.8991,9.8489,-0.3635,0.0014,0.2936,3.1733,-0.0841,3.1744,1.1864,0.0908,1.5109,19.4938,-6.0076,20.2696
