Tempo(s),Tensao_Drone(N),Tensao_Rover(N),PosRoverX(m),PosRoverY(m),PosRoverZ(m),Angulo_EixoX_rover(graus),Angulo_EixoY_rover(graus),Angulo_EixoZ_rover(graus),PosDroneX(m),PosDroneY(m),PosDroneZ(m),Angulo_EixoX(graus),Angulo_EixoY(graus),Angulo_EixoZ(graus)
0.000,1.9670,90.1649,-0.5031,0.0006,0.3074,-152.1958,-177.9262,152.1401,0.0914,0.0920,1.9905,0.0000,-0.0000,0.0000
0.050,2.9838,8.6937,-0.5091,0.0008,0.3055,164.7941,-176.7725,164.4857,0.0896,0.0919,1.9720,-9.0519,-0.6303,9.0731
0.100,8.0864,2.7635,-0.5151,0.0009,0.3038,178.3819,-179.0636,178.1307,0.0924,0.0921,1.9577,-18.9433,0.4239,18.9474
0.150,14.1854,1.5635,-0.5210,0.0010,0.3023,-179.8223,-179.6730,179.6279,0.1054,0.0922,1.9471,-22.3516,0.5278,22.3567
0.200,13.7933,1.8568,-0.5268,0.0010,0.3010,179.8148,179.8846,179.7818,0.1294,0.0923,1.9372,-21.5809,0.4339,21.5845
0.250,8.9697,2.0650,-0.5327,0.0011,0.2998,178.7844,-179.9402,178.7829,0.1633,0.0924,1.9261,-14.3038,0.3871,14.3087
0.300,3.9899,2.2444,-0.5386,0.0012,0.2989,177.4947,179.3884,177.4213,0.2057,0.0925,1.9128,-5.3377,0.3010,5.3460
0.350,2.7670,2.7947,-0.5445,0.0013,0.2980,177.1730,179.3542,177.1004,0.2552,0.0925,1.8974,-3.7575,0.1737,3.7615
0.400,5.5322,2.6002,-0.5504,0.0013,0.2973,179.4338,179.7805,179.3928,0.3105,0.0925,1.8801,-6.2711,-0.0298,6.2712
0.450,9.2735,2.1632,-0.5562,0.0014,0.2967,178.5830,179.8206,178.5717,0.3705,0.0925,1.8612,16.9838,0.5798,16.9925
0.500,13.4435,2.6903,-0.5621,0.0015,0.2962,178.4186,179.4543,178.3272,0.4338,0.0924,1.8410,48.4594,-0.9015,48.4622
0.550,13.3689,3.1814,-0.5680,0.0015,0.2958,176.9151,178.7412,176.6690,0.4995,0.0924,1.8198,49.2737,-0.1849,49.2738
0.600,10.8932,2.6283,-0.5739,0.0016,0.2954,178.3325,179.1176,178.1137,0.5664,0.0923,1.7977,58.4767,-3.1625,58.4914
0.650,6.4463,1.2228,-0.5798,0.0016,0.2952,-178.0063,-178.5312,177.5244,0.6337,0.0923,1.7747,56.6032,2.9406,56.6183
0.700,4.7576,1.5776,-0.5856,0.0017,0.2949,179.7402,-179.1850,179.1446,0.7004,0.0922,1.7511,43.9887,5.1547,44.1132
0.750,5.3833,2.2992,-0.5915,0.0017,0.2947,178.3498,179.1540,178.1457,0.7658,0.0922,1.7267,31.1224,2.3955,31.1831
0.800,6.5851,2.3237,-0.5974,0.0018,0.2945,177.6523,178.8634,177.3922,0.8292,0.0921,1.7016,22.3113,0.8810,22.3254
0.850,8.3432,1.3747,-0.6033,0.0018,0.2943,177.7393,179.8765,177.7360,0.8901,0.0920,1.6759,19.6364,0.6426,19.6453
0.900,9.9368,3.3094,-0.6092,0.0019,0.2942,-145.4585,-163.9270,143.2691,0.9479,0.0919,1.6495,16.9830,-0.4376,16.9880
0.950,9.4580,12.9836,-0.6149,0.0020,0.2941,-85.3550,-81.9616,85.9716,1.0023,0.0917,1.6227,17.9267,0.0564,17.9267
1.000,8.7403,17.7760,-0.6205,0.0021,0.2939,-95.4406,-98.6677,94.6180,1.0529,0.0916,1.5954,21.3433,-4.0677,21.6617
1.050,10.0611,16.3383,-0.6262,0.0022,0.2938,-104.3832,-110.4703,101.9351,1.0995,0.0915,1.5677,22.1128,0.5226,22.1179
1.100,12.0804,10.9181,-0.6320,0.0024,0.2938,-113.2378,-120.0041,109.0120,1.1420,0.0914,1.5397,26.8507,-4.2415,27.0966
1.150,12.4420,5.9235,-0.6378,0.0025,0.2937,-119.3300,-125.7721,113.8964,1.1803,0.0912,1.5116,33.9198,3.3173,34.0181
1.200,11.6513,3.8117,-0.6437,0.0026,0.2936,-124.5954,-130.0744,118.0752,1.2143,0.0911,1.4834,49.3276,-2.5967,49.3491
1.250,10.8143,3.8317,-0.6496,0.0027,0.2936,-126.7796,-130.4955,119.3565,1.2441,0.0909,1.4553,58.0488,3.1741,58.0642
1.300,9.9121,4.5160,-0.6555,0.0028,0.2936,-120.8893,-122.1679,113.4352,1.2698,0.0908,1.4273,79.0965,8.1870,79.1006
1.350,8.1853,5.1767,-0.6613,0.0029,0.2935,-109.0180,-108.3262,103.4321,1.2915,0.0906,1.3996,78.7136,4.4819,78.7149
1.400,6.4012,5.6183,-0.6671,0.0030,0.2935,-93.0551,-92.6944,92.0216,1.3093,0.0905,1.3722,71.9418,1.1875,71.9422
1.450,5.4167,5.7104,-0.6728,0.0030,0.2935,-78.3092,-80.3357,82.5092,1.3233,0.0903,1.3454,64.0654,0.1017,64.0654
1.500,5.5103,5.8558,-0.6786,0.0031,0.2935,-68.9845,-73.7059,76.9044,1.3338,0.0902,1.3192,56.7184,-0.5518,56.7189
1.550,7.2418,5.9438,-0.6843,0.0032,0.2935,-63.1675,-70.1105,73.6024,1.3410,0.0900,1.2937,51.9416,-1.2839,51.9459
1.600,9.7852,6.4209,-0.6901,0.0033,0.2935,-66.5022,-74.4747,76.8247,1.3450,0.0899,1.2689,49.3112,-1.9612,49.3235
1.650,10.4541,8.0428,-0.6958,0.0034,0.2935,-90.9049,-90.5292,90.4568,1.3462,0.0898,1.2451,46.4773,-1.7711,46.4897
1.700,9.6568,10.1832,-0.7015,0.0035,0.2935,-107.4000,-99.5486,98.4305,1.3446,0.0897,1.2222,46.6880,0.0419,46.6880
1.750,10.1100,13.5162,-0.7071,0.0037,0.2934,-133.1303,-114.9590,112.6275,1.3407,0.0896,1.2004,51.8402,1.8377,51.8491
1.800,12.3970,14.4512,-0.7128,0.0039,0.2934,-143.8065,-121.6443,119.3270,1.3346,0.0895,1.1796,54.5544,1.4167,54.5586
1.850,14.5820,11.4722,-0.7185,0.0041,0.2934,-146.4974,-121.2661,119.3966,1.3265,0.0894,1.1600,52.1171,0.0741,52.1171
1.900,14.8594,8.5816,-0.7243,0.0043,0.2933,-145.0714,-116.9189,115.5734,1.3167,0.0893,1.1417,49.9298,-1.6955,49.9386
1.950,12.7852,7.6879,-0.7301,0.0045,0.2933,-140.2253,-110.3612,109.5240,1.3055,0.0892,1.1245,47.3086,-3.4027,47.3515
2.000,9.2939,8.1408,-0.7358,0.0047,0.2933,-132.9937,-103.8386,103.3963,1.2929,0.0892,1.1087,47.5952,-2.8045,47.6237
2.050,6.4235,8.5414,-0.7415,0.0049,0.2933,-124.1807,-98.5392,98.3407,1.2794,0.0891,1.0942,48.4620,-2.3651,48.4810
2.100,5.3136,7.7859,-0.7472,0.0050,0.2933,-110.2315,-93.8312,93.7696,1.2649,0.0891,1.0810,47.9709,-1.8596,47.9831
2.150,5.5969,6.1490,-0.7530,0.0051,0.2933,-115.0584,-93.8588,93.8194,1.2499,0.0890,1.0693,48.3910,-1.0675,48.3949
2.200,6.2151,4.7928,-0.7587,0.0052,0.2934,-146.4811,-99.2585,99.2059,1.2344,0.0890,1.0589,51.0335,-0.1029,51.0335
2.250,6.5556,4.5294,-0.7644,0.0053,0.2934,-166.8462,-107.1994,107.1572,1.2186,0.0890,1.0499,54.2586,0.7659,54.2598
2.300,6.6625,5.2531,-0.7701,0.0055,0.2934,-175.6039,-114.3336,114.3206,1.2028,0.0890,1.0422,55.4166,1.1496,55.4192
2.350,6.9641,6.4720,-0.7758,0.0056,0.2934,179.1419,-118.4754,118.4746,1.1869,0.0891,1.0359,53.7321,0.8767,53.7339
2.400,7.8978,7.7877,-0.7815,0.0058,0.2934,174.7988,-121.2063,121.1678,1.1713,0.0891,1.0310,50.4754,0.4069,50.4759
2.450,9.4326,8.7494,-0.7872,0.0060,0.2934,170.3474,-122.6583,122.5047,1.1559,0.0891,1.0275,46.6769,-0.1188,46.6769
2.500,10.8609,9.0287,-0.7929,0.0062,0.2934,166.6652,-123.5525,123.2311,1.1410,0.0891,1.0254,43.1208,-0.7126,43.1233
2.550,11.5313,9.0617,-0.7987,0.0064,0.2934,163.9040,-124.0891,123.5931,1.1266,0.0891,1.0246,39.4477,-1.3498,39.4593
2.600,10.9821,9.1604,-0.8044,0.0066,0.2934,159.1943,-121.1517,120.5036,1.1129,0.0891,1.0252,35.4325,-1.3186,35.4466
2.650,9.2884,9.0201,-0.8101,0.0068,0.2934,152.2467,-116.5172,115.7619,1.0998,0.0892,1.0271,33.1833,-0.6095,33.1867
2.700,7.3727,8.4103,-0.8157,0.0070,0.2934,147.3381,-114.7774,113.8749,1.0876,0.0892,1.0304,33.7165,0.2756,33.7171
2.750,6.1569,7.2729,-0.8214,0.0071,0.2934,144.9536,-115.3099,114.1734,1.0761,0.0893,1.0349,36.4492,1.0549,36.4577
2.800,5.7705,5.9399,-0.8271,0.0073,0.2935,143.9973,-117.0463,115.5790,1.0655,0.0893,1.0406,39.8863,1.5169,39.9005
2.850,5.8664,4.8691,-0.8328,0.0075,0.2935,143.8994,-119.5523,117.6527,1.0559,0.0893,1.0476,42.6581,1.4581,42.6690
2.900,6.0251,4.5055,-0.8386,0.0076,0.2935,145.1782,-123.4191,120.9513,1.0471,0.0894,1.0558,44.3773,0.9547,44.3814
2.950,6.2225,4.8944,-0.8444,0.0078,0.2935,145.7735,-126.7358,123.6432,1.0393,0.0894,1.0651,44.7369,-0.2466,44.7371
3.000,6.6341,5.7168,-0.8501,0.0080,0.2935,145.0722,-128.7527,124.9986,1.0325,0.0895,1.0756,44.3043,-1.5281,44.3150
3.050,7.3763,6.5113,-0.8558,0.0082,0.2935,143.2193,-129.6471,125.1625,1.0266,0.0895,1.0872,44.1087,-2.2901,44.1330
3.100,8.3258,6.9630,-0.8616,0.0084,0.2935,140.8072,-130.0755,124.7525,1.0216,0.0896,1.0999,43.7716,-2.3553,43.7980
3.150,9.2152,7.2087,-0.8673,0.0086,0.2934,137.4993,-129.4857,123.3270,1.0176,0.0896,1.1136,41.3404,-1.8673,41.3599
3.200,9.6859,7.5245,-0.8731,0.0088,0.2934,132.7866,-127.0552,120.3309,1.0144,0.0897,1.1282,37.6862,-1.1266,37.6952
3.250,9.5577,7.8842,-0.8789,0.0089,0.2934,126.9109,-123.0621,116.1936,1.0122,0.0897,1.1439,34.5947,-0.4219,34.5962
