Tempo(s),Tensao_Drone(N),Tensao_Rover(N),PosRoverX(m),PosRoverY(m),PosRoverZ(m),Angulo_EixoX_rover(graus),Angulo_EixoY_rover(graus),Angulo_EixoZ_rover(graus),PosDroneX(m),PosDroneY(m),PosDroneZ(m),Angulo_EixoX(graus),Angulo_EixoY(graus),Angulo_EixoZ(graus)
3.300,8.9135,8.0924,-0.8847,0.0091,0.2934,122.3244,-120.1669,113.1738,1.0107,0.0897,1.1604,32.7247,0.1697,32.7250
3.350,8.1108,7.9981,-0.8905,0.0093,0.2934,119.4056,-118.9641,111.5492,1.0100,0.0898,1.1778,32.2557,0.5613,32.2588
3.400,7.4876,7.5477,-0.8962,0.0094,0.2934,117.1785,-118.5452,110.4752,1.0101,0.0898,1.1961,33.8991,0.8093,33.9049
3.450,7.2714,6.7828,-0.9019,0.0095,0.2935,114.7859,-118.0386,109.2332,1.0108,0.0898,1.2151,37.3898,0.8459,37.3950
3.500,7.3913,6.0062,-0.9076,0.0096,0.2935,113.1288,-118.3111,108.5048,1.0122,0.0898,1.2349,41.2676,0.7298,41.2706
3.550,7.6669,5.5821,-0.9134,0.0097,0.2935,113.1278,-120.4916,109.0722,1.0142,0.0898,1.2554,44.3609,0.3775,44.3615
3.600,7.9805,5.6851,-0.9191,0.0098,0.2935,114.6299,-124.5840,110.8951,1.0167,0.0899,1.2765,46.6051,-0.3073,46.6055
3.650,8.3346,6.1126,-0.9249,0.0099,0.2936,115.1724,-127.5435,111.8483,1.0196,0.0899,1.2983,47.9290,-1.2436,47.9345
3.700,8.7546,6.5120,-0.9306,0.0100,0.2936,113.5135,-127.6646,110.7581,1.0230,0.0899,1.3206,47.6982,-1.6006,47.7074
3.750,9.2507,6.7671,-0.9363,0.0101,0.2936,110.2894,-125.4337,108.1627,1.0267,0.0899,1.3434,45.8214,-0.9693,45.8253
3.800,9.7169,7.0197,-0.9421,0.0102,0.2936,105.5382,-120.2221,104.0861,1.0307,0.0899,1.3667,43.4654,0.0025,43.4654
3.850,10.0446,7.5166,-0.9478,0.0103,0.2936,99.9562,-111.9654,99.1436,1.0350,0.0899,1.3904,41.5305,0.7421,41.5336
3.900,10.2915,8.1679,-0.9535,0.0105,0.2936,95.3077,-103.3077,94.9422,1.0394,0.0899,1.4145,40.1422,0.8970,40.1471
3.950,10.4642,8.7458,-0.9593,0.0106,0.2936,93.7638,-100.6312,93.5525,1.0439,0.0899,1.4389,39.4630,0.4813,39.4645
4.000,10.6299,9.0438,-0.9650,0.0107,0.2936,93.8116,-102.1770,93.6424,1.0485,0.0899,1.4636,39.9467,-0.3649,39.9475
4.050,10.8851,9.0384,-0.9707,0.0109,0.2936,94.0951,-104.9891,93.9565,1.0531,0.0899,1.4884,42.3416,-1.2309,42.3495
