Tempo(s),Tensao_Drone(N),Tensao_Rover(N),PosRoverX(m),PosRoverY(m),PosRoverZ(m),Angulo_EixoX_rover(graus),Angulo_EixoY_rover(graus),Angulo_EixoZ_rover(graus),PosDroneX(m),PosDroneY(m),PosDroneZ(m),Angulo_EixoX(graus),Angulo_EixoY(graus),Angulo_EixoZ(graus)
0.000,1.9667,91.0605,-0.4971,0.0003,0.3073,2.6091,0.0623,2.6098,0.0919,0.0919,1.9885,0.0000,0.0000,0.0000
0.050,1.2565,5.2025,-0.4914,0.0005,0.3055,0.3003,0.0041,0.3003,0.0919,0.0919,1.9505,0.0000,0.0000,0.0000
0.100,12.5164,1.7132,-0.4854,0.0005,0.3037,-0.1948,-0.0016,0.1948,0.0919,0.0923,1.8918,0.0019,0.0515,0.0515
0.150,25.2982,0.9698,-0.4795,0.0004,0.3022,-0.2174,-0.0018,0.2175,0.0919,0.0924,1.8278,0.0337,-2.7413,2.7415
0.200,29.6448,1.6979,-0.4737,0.0004,0.3008,-0.0950,-0.0011,0.0950,0.0919,0.0924,1.7609,0.4010,-3.1442,3.1695
0.250,28.2923,1.8836,-0.4678,0.0004,0.2997,-0.0927,-0.0016,0.0927,0.0919,0.0925,1.6923,-0.1373,-3.6083,3.6109
0.300,24.0964,1.8709,-0.4620,0.0005,0.2988,-0.2440,-0.0014,0.2440,0.0919,0.0928,1.6228,6.6663,-4.0277,7.7699
