Tempo(s),Tensao_Drone(N),Tensao_Rover(N),PosRoverX(m),PosRoverY(m),PosRoverZ(m),PosDroneX(m),PosDroneY(m),PosDroneZ(m),Angulo_EixoX(graus),Angulo_EixoY(graus),Angulo_EixoZ(graus)
14.300,45.4278,41.8350,-2.1228,-0.0014,0.2935,1.0906,0.0912,1.9358,58.3191,0.1534,58.3191
14.350,45.5340,41.9284,-2.1284,-0.0015,0.2935,1.0906,0.0913,1.9330,58.3826,0.2134,58.3827
14.400,45.6668,42.0541,-2.1339,-0.0018,0.2934,1.0906,0.0914,1.9301,58.4403,0.1657,58.4403
14.450,45.7856,42.1849,-2.1394,-0.0020,0.2934,1.0906,0.0915,1.9270,58.5172,0.1810,58.5172
14.500,45.8793,42.3078,-2.1449,-0.0022,0.2934,1.0906,0.0915,1.9237,58.6122,0.2485,58.6123
14.550,45.9868,42.4397,-2.1505,-0.0023,0.2934,1.0906,0.0916,1.9203,58.6632,0.2788,58.6633
14.600,46.0890,42.5530,-2.1561,-0.0024,0.2934,1.0906,0.0917,1.9167,58.6723,0.3581,58.6725
14.650,46.1986,42.6779,-2.1617,-0.0025,0.2934,1.0906,0.0918,1.9130,58.5236,0.4585,58.5239
14.700,46.2504,42.8107,-2.1673,-0.0027,0.2934,1.0906,0.0919,1.9093,57.9471,0.8175,57.9481
14.750,45.9986,42.7966,-2.1729,-0.0029,0.2934,1.0906,0.0919,1.9054,57.7544,1.1358,57.7564
14.800,45.9674,42.6213,-2.1785,-0.0032,0.2934,1.0907,0.0919,1.9012,57.7040,1.2968,57.7067
14.850,46.1463,42.5700,-2.1841,-0.0034,0.2934,1.0907,0.0919,1.8970,57.6683,1.5089,57.6719
14.900,46.2664,42.5987,-2.1897,-0.0037,0.2934,1.0907,0.0920,1.8925,57.8210,1.7076,57.8255
14.950,46.2964,42.7120,-2.1954,-0.0040,0.2934,1.0907,0.0920,1.8883,57.8673,2.0030,57.8735
15.000,46.2730,42.7821,-2.2010,-0.0043,0.2934,1.0907,0.0921,1.8838,58.0267,2.3412,58.0351
15.050,46.2304,42.8666,-2.2067,-0.0046,0.2934,1.0907,0.0922,1.8791,58.2161,2.7102,58.2272
15.100,46.2361,42.9365,-2.2123,-0.0048,0.2934,1.0907,0.0922,1.8742,58.4699,2.9423,58.4826
15.150,46.2611,43.0067,-2.2180,-0.0051,0.2934,1.0907,0.0922,1.8695,58.7603,3.2769,58.7756
15.200,46.3021,43.0395,-2.2236,-0.0054,0.2934,1.0907,0.0922,1.8647,59.0402,3.6856,59.0591
15.250,46.3369,43.0654,-2.2292,-0.0056,0.2934,1.0907,0.0923,1.8600,59.3213,4.1242,59.3443
15.300,46.3765,43.0211,-2.2349,-0.0059,0.2933,1.0907,0.0923,1.8548,59.5838,4.4742,59.6102
15.350,46.3918,43.0766,-2.2405,-0.0061,0.2933,1.0907,0.0923,1.8499,59.9138,4.8872,59.9442
15.400,46.4261,43.1073,-2.2462,-0.0064,0.2933,1.0907,0.0922,1.8450,60.2524,5.1062,60.2845
15.450,46.4296,43.1346,-2.2518,-0.0066,0.2933,1.0908,0.0922,1.8399,60.5969,5.0766,60.6275
15.500,46.4418,43.1938,-2.2575,-0.0068,0.2934,1.0908,0.0921,1.8350,60.8615,4.9454,60.8898
15.550,46.4567,43.2559,-2.2631,-0.0069,0.2934,1.0908,0.0921,1.8302,61.0916,5.0938,61.1209
15.600,46.4594,43.2957,-2.2687,-0.0071,0.2934,1.0908,0.0921,1.8253,61.2508,5.1730,61.2806
15.650,46.4739,43.2953,-2.2743,-0.0072,0.2935,1.0908,0.0921,1.8202,61.3588,5.3025,61.3897
15.700,46.4915,43.3453,-2.2800,-0.0074,0.2935,1.0908,0.0920,1.8153,61.4578,5.2726,61.4880
15.750,46.5261,43.4006,-2.2856,-0.0075,0.2935,1.0908,0.0920,1.8107,61.5455,5.4504,61.5776
15.800,46.5354,43.3990,-2.2912,-0.0076,0.2935,1.0908,0.0920,1.8059,61.5869,5.5687,61.6202
15.850,46.5445,43.4507,-2.2968,-0.0077,0.2935,1.0908,0.0919,1.8014,61.6226,5.7418,61.6579
15.900,46.5712,43.4230,-2.3024,-0.0078,0.2934,1.0908,0.0919,1.7966,61.6127,5.6840,61.6473
15.950,46.5742,43.5037,-2.3080,-0.0079,0.2934,1.0908,0.0918,1.7921,61.6767,5.7764,61.7122
16.000,46.6038,43.5200,-2.3136,-0.0080,0.2934,1.0908,0.0917,1.7877,61.6934,5.6802,61.7276
16.050,46.6129,43.5856,-2.3192,-0.0081,0.2934,1.0908,0.0917,1.7836,61.7530,5.7037,61.7873
16.100,46.6329,43.5891,-2.3248,-0.0082,0.2934,1.0909,0.0917,1.7793,61.7683,5.7629,61.8033
16.150,46.6268,43.6475,-2.3305,-0.0083,0.2934,1.0909,0.0917,1.7753,61.8518,6.0400,61.8899
16.200,46.6445,43.6537,-2.3360,-0.0085,0.2934,1.0909,0.0916,1.7714,61.9089,6.2707,61.9497
16.250,46.6498,43.6677,-2.3417,-0.0087,0.2933,1.0909,0.0916,1.7675,62.0061,6.2776,62.0466
16.300,46.6766,43.7149,-2.3473,-0.0090,0.2933,1.0909,0.0916,1.7638,62.0902,6.1114,62.1282
16.350,46.7079,43.7578,-2.3529,-0.0093,0.2933,1.0909,0.0917,1.7604,62.1869,6.0202,62.2235
16.400,46.7239,43.7862,-2.3586,-0.0096,0.2933,1.0909,0.0917,1.7570,62.2910,6.2146,62.3295
16.450,46.7330,43.8212,-2.3642,-0.0099,0.2933,1.0909,0.0918,1.7538,62.3942,6.6563,62.4379
16.500,46.7345,43.8120,-2.3699,-0.0102,0.2933,1.0909,0.0918,1.7506,62.4919,6.7507,62.5364
16.550,46.7421,43.8319,-2.3755,-0.0105,0.2933,1.0909,0.0918,1.7475,62.6010,6.6384,62.6435
16.600,46.7641,43.8824,-2.3813,-0.0107,0.2933,1.0909,0.0919,1.7448,62.6811,6.6130,62.7229
16.650,46.7798,43.9152,-2.3870,-0.0110,0.2933,1.0909,0.0919,1.7422,62.7739,6.7972,62.8177
16.700,46.7923,43.9416,-2.3927,-0.0112,0.2933,1.0909,0.0920,1.7397,62.8467,6.9952,62.8927
16.750,46.8102,43.9685,-2.3984,-0.0115,0.2933,1.0909,0.0920,1.7375,62.9071,7.0361,62.9532
16.800,46.8248,43.9760,-2.4041,-0.0117,0.2933,1.0909,0.0921,1.7353,62.9701,6.8664,63.0137
16.850,46.8416,44.0326,-2.4098,-0.0119,0.2933,1.0909,0.0921,1.7334,63.0263,6.9835,63.0712
16.900,46.8664,44.0477,-2.4155,-0.0121,0.2933,1.0909,0.0921,1.7317,63.0809,7.0871,63.1269
16.950,46.8845,44.0871,-2.4212,-0.0123,0.2933,1.0910,0.0921,1.7301,63.1375,7.1990,63.1847
17.000,46.9067,44.0905,-2.4268,-0.0126,0.2933,1.0910,0.0921,1.7287,63.1767,7.2059,63.2237
17.050,46.9199,44.1196,-2.4324,-0.0129,0.2933,1.0910,0.0921,1.7274,63.2254,7.2811,63.2731
17.100,46.9341,44.1491,-2.4380,-0.0133,0.2933,1.0910,0.0921,1.7263,63.2754,7.3615,63.3239
17.150,46.9501,44.1739,-2.4436,-0.0136,0.2933,1.0910,0.0921,1.7254,63.3133,7.4332,63.3626
17.200,46.9665,44.1974,-2.4493,-0.0140,0.2933,1.0910,0.0921,1.7247,63.3478,7.4926,63.3977
17.250,46.9818,44.2199,-2.4549,-0.0143,0.2933,1.0910,0.0921,1.7241,63.3785,7.5494,63.4290
17.300,46.9923,44.2256,-2.4606,-0.0146,0.2933,1.0910,0.0921,1.7236,63.4158,7.6004,63.4668
17.350,46.9980,44.2504,-2.4662,-0.0148,0.2933,1.0910,0.0921,1.7234,63.4475,7.8244,63.5014
17.400,47.0097,44.2715,-2.4717,-0.0151,0.2932,1.0910,0.0921,1.7234,63.4865,7.9858,63.5424
17.450,47.0232,44.2917,-2.4774,-0.0153,0.2932,1.0910,0.0921,1.7235,63.5228,7.9966,63.5785
17.500,47.0429,44.2998,-2.4830,-0.0156,0.2932,1.0910,0.0921,1.7237,63.5493,8.0811,63.6061
17.550,47.0801,44.3544,-2.4886,-0.0159,0.2932,1.0910,0.0921,1.7242,63.5637,7.6799,63.6149
17.600,47.0908,44.3683,-2.4942,-0.0163,0.2932,1.0910,0.0921,1.7248,63.5979,7.9401,63.6524
17.650,47.1002,44.3798,-2.4999,-0.0166,0.2932,1.0910,0.0921,1.7256,63.6306,8.2097,63.6887
17.700,47.1169,44.3860,-2.5055,-0.0170,0.2932,1.0910,0.0920,1.7266,63.6306,8.3287,63.6904
17.750,47.1282,44.4020,-2.5111,-0.0172,0.2932,1.0910,0.0920,1.7277,63.6529,8.2911,63.7121
17.800,47.1468,44.4277,-2.5167,-0.0174,0.2932,1.0910,0.0920,1.7290,63.6666,8.2720,63.7254
17.850,47.1676,44.4514,-2.5223,-0.0176,0.2932,1.0910,0.0920,1.7304,63.6796,8.3797,63.7398
17.900,47.1879,44.4727,-2.5279,-0.0178,0.2932,1.0911,0.0920,1.7319,63.6850,8.5145,63.7472
17.950,47.2053,44.4912,-2.5336,-0.0181,0.2932,1.0911,0.0920,1.7335,63.6878,8.5654,63.7507
18.000,47.2178,44.4956,-2.5392,-0.0184,0.2931,1.0911,0.0920,1.7352,63.6915,8.7158,63.7566
18.050,47.2503,44.5430,-2.5448,-0.0187,0.2931,1.0911,0.0920,1.7372,63.6828,8.2690,63.7414
18.100,47.2638,44.5770,-2.5504,-0.0190,0.2932,1.0911,0.0920,1.7394,63.6962,8.6566,63.7604
18.150,47.2703,44.5405,-2.5561,-0.0194,0.2932,1.0911,0.0920,1.7413,63.7067,8.7062,63.7715
18.200,47.2852,44.5696,-2.5617,-0.0197,0.2932,1.0911,0.0919,1.7435,63.6841,8.8224,63.7509
18.250,47.3088,44.5902,-2.5674,-0.0201,0.2932,1.0911,0.0919,1.7459,63.6807,8.7786,63.7469
18.300,47.3176,44.5955,-2.5731,-0.0204,0.2932,1.0911,0.0919,1.7483,63.7002,9.0168,63.7699
18.350,47.3572,44.6349,-2.5787,-0.0207,0.2932,1.0911,0.0919,1.7509,63.6809,8.8594,63.7483
18.400,47.3918,44.6796,-2.5844,-0.0211,0.2932,1.0911,0.0919,1.7535,63.6608,8.6935,63.7259
18.450,47.3952,44.6781,-2.5901,-0.0213,0.2932,1.0911,0.0919,1.7562,63.6722,9.0242,63.7423
18.500,47.4036,44.6809,-2.5958,-0.0216,0.2932,1.0911,0.0919,1.7589,63.6578,9.2360,63.7314
18.550,47.4130,44.6792,-2.6014,-0.0218,0.2932,1.0911,0.0919,1.7618,63.6463,9.2190,63.7197
18.600,47.4283,44.6981,-2.6070,-0.0220,0.2932,1.0911,0.0919,1.7648,63.6522,9.1109,63.7238
18.650,47.4510,44.7047,-2.6126,-0.0222,0.2932,1.0911,0.0920,1.7676,63.6560,8.9198,63.7246
18.700,47.4728,44.7352,-2.6182,-0.0224,0.2931,1.0911,0.0920,1.7706,63.6472,9.1397,63.7193
18.750,47.5039,44.7546,-2.6239,-0.0227,0.2931,1.0911,0.0920,1.7736,63.6392,9.4323,63.7161
18.800,47.5274,44.7568,-2.6295,-0.0230,0.2931,1.0911,0.0921,1.7766,63.6401,9.7919,63.7231
18.850,47.5944,44.7905,-2.6351,-0.0233,0.2931,1.0911,0.0921,1.7796,63.6131,9.4906,63.6912
18.900,47.6916,44.8316,-2.6408,-0.0236,0.2931,1.0911,0.0921,1.7827,63.5948,9.4171,63.6719
18.950,47.7988,44.9003,-2.6465,-0.0240,0.2931,1.0911,0.0921,1.7858,63.5926,9.4171,63.6696
19.000,47.8243,44.9434,-2.6521,-0.0243,0.2931,1.0911,0.0921,1.7888,63.5782,10.0642,63.6665
19.050,47.8226,45.0341,-2.6578,-0.0247,0.2932,1.0911,0.0920,1.7921,63.5462,9.7824,63.6299
19.100,47.7941,45.0693,-2.6635,-0.0250,0.2932,1.0911,0.0920,1.7954,63.5332,9.9976,63.6208
19.150,47.8028,45.0265,-2.6692,-0.0253,0.2932,1.0912,0.0920,1.7982,63.5493,9.9584,63.6361
19.200,47.8521,45.1144,-2.6749,-0.0255,0.2932,1.0912,0.0920,1.8013,63.5023,9.7308,63.5855
19.250,47.8886,45.1993,-2.6805,-0.0257,0.2932,1.0912,0.0920,1.8044,63.4887,9.7065,63.5716
19.300,47.9235,45.2756,-2.6862,-0.0259,0.2932,1.0912,0.0920,1.8075,63.5023,9.8947,63.5884
19.350,47.9917,45.3238,-2.6918,-0.0261,0.2932,1.0912,0.0920,1.8107,63.4665,9.9142,63.5533
19.400,48.0200,45.2814,-2.6974,-0.0264,0.2932,1.0912,0.0920,1.8135,63.4671,10.2527,63.5600
19.450,48.0968,45.3024,-2.7031,-0.0266,0.2932,1.0912,0.0920,1.8165,63.4441,10.2403,63.5370
19.500,48.1906,45.3392,-2.7087,-0.0269,0.2932,1.0912,0.0920,1.8195,63.4393,10.3274,63.5339
19.550,48.2592,45.4077,-2.7144,-0.0272,0.2932,1.0912,0.0920,1.8224,63.4576,10.2745,63.5510
19.600,48.3026,45.4134,-2.7201,-0.0275,0.2932,1.0912,0.0921,1.8251,63.4601,10.7846,63.5632
19.650,48.3584,45.4570,-2.7258,-0.0278,0.2932,1.0912,0.0921,1.8279,63.4425,10.7140,63.5444
19.700,48.3846,45.5097,-2.7314,-0.0281,0.2932,1.0912,0.0921,1.8306,63.4309,10.6218,63.5312
19.750,48.4126,45.5601,-2.7371,-0.0284,0.2932,1.0912,0.0921,1.8332,63.4510,10.5010,63.5487
19.800,48.4379,45.6331,-2.7428,-0.0286,0.2932,1.0912,0.0921,1.8358,63.4406,10.8483,63.5451
19.850,48.4722,45.6844,-2.7484,-0.0287,0.2932,1.0912,0.0921,1.8382,63.4390,10.8468,63.5435
19.900,48.4885,45.7422,-2.7541,-0.0290,0.2932,1.0912,0.0921,1.8407,63.4244,10.9875,63.5319
19.950,48.5471,45.7994,-2.7597,-0.0293,0.2932,1.0912,0.0920,1.8430,63.4235,10.8459,63.5282
20.000,48.6046,45.8626,-2.7654,-0.0296,0.2932,1.0912,0.0920,1.8454,63.4432,10.8603,63.5479
20.050,48.6788,45.9119,-2.7711,-0.0299,0.2932,1.0912,0.0920,1.8476,63.4473,10.9752,63.5542
20.100,48.7466,45.9431,-2.7767,-0.0302,0.2932,1.0912,0.0921,1.8497,63.4747,11.1108,63.5840
20.150,48.8046,45.9897,-2.7824,-0.0305,0.2933,1.0912,0.0921,1.8518,63.4663,11.3164,63.5799
20.200,48.8682,45.9960,-2.7881,-0.0307,0.2933,1.0912,0.0921,1.8537,63.4992,11.7828,63.6221
20.250,48.9485,46.0742,-2.7938,-0.0309,0.2933,1.0912,0.0921,1.8555,63.4858,11.5817,63.6046
20.300,49.0252,46.1634,-2.7994,-0.0312,0.2933,1.0912,0.0921,1.8574,63.4602,11.2477,63.5724
20.350,49.0503,46.1581,-2.8051,-0.0314,0.2933,1.0912,0.0922,1.8588,63.5160,11.5295,63.6333
20.400,49.1072,46.2621,-2.8108,-0.0316,0.2933,1.0912,0.0922,1.8605,63.4767,11.7162,63.5985
20.450,49.1353,46.2970,-2.8164,-0.0317,0.2933,1.0912,0.0922,1.8617,63.5191,12.0935,63.6484
20.500,49.1935,46.3948,-2.8221,-0.0318,0.2933,1.0912,0.0922,1.8631,63.5165,11.8968,63.6416
20.550,49.2531,46.4619,-2.8278,-0.0320,0.2933,1.0912,0.0923,1.8642,63.5362,11.6129,63.6550
20.600,49.2871,46.5111,-2.8334,-0.0322,0.2933,1.0912,0.0923,1.8653,63.5428,11.9148,63.6679
20.650,49.3448,46.5692,-2.8390,-0.0324,0.2933,1.0912,0.0923,1.8662,63.6320,12.2190,63.7624
20.700,49.4072,46.6313,-2.8446,-0.0327,0.2932,1.0913,0.0922,1.8671,63.5316,12.4234,63.6681
20.750,49.4916,46.6769,-2.8503,-0.0329,0.2932,1.0913,0.0922,1.8678,63.7657,12.2467,63.8947
20.800,49.5685,46.7279,-2.8559,-0.0332,0.2932,1.0913,0.0922,1.8685,63.4076,11.9380,63.5351
20.850,49.6066,46.7707,-2.8616,-0.0335,0.2933,1.0913,0.0922,1.8691,64.1661,12.2927,64.2903
20.900,49.6710,46.8417,-2.8673,-0.0338,0.2933,1.0913,0.0922,1.8695,62.7574,12.2404,62.9017
20.950,49.5305,46.8517,-2.8730,-0.0340,0.2933,1.0913,0.0921,1.8699,65.4832,13.0413,65.6030
21.000,49.2525,46.7109,-2.8786,-0.0343,0.2933,1.0913,0.0921,1.8701,61.3275,11.4840,61.4752
21.050,48.7852,46.4083,-2.8843,-0.0346,0.2933,1.0913,0.0921,1.8703,66.3450,12.2413,66.4395
21.100,48.6966,46.1434,-2.8900,-0.0348,0.2933,1.0913,0.0921,1.8704,60.6503,11.2266,60.8016
21.150,48.7179,46.0157,-2.8956,-0.0351,0.2933,1.0913,0.0921,1.8704,66.7149,13.1343,66.8191
21.200,48.9665,46.0789,-2.9013,-0.0353,0.2933,1.0913,0.0921,1.8702,60.4330,11.6352,60.5993
21.250,49.1519,46.0681,-2.9070,-0.0355,0.2934,1.0913,0.0921,1.8700,66.7797,13.9345,66.8964
21.300,49.3589,46.1121,-2.9127,-0.0357,0.2934,1.0913,0.0921,1.8697,60.3344,11.7348,60.5054
21.350,49.2651,46.0769,-2.9184,-0.0360,0.2934,1.0913,0.0921,1.8693,66.9298,14.0494,67.0462
21.400,49.2451,46.1333,-2.9240,-0.0362,0.2934,1.0913,0.0921,1.8688,60.1587,11.3386,60.3210
21.450,49.0457,46.1323,-2.9297,-0.0365,0.2934,1.0913,0.0921,1.8682,67.0436,13.9090,67.1559
21.500,49.0291,46.1975,-2.9353,-0.0367,0.2934,1.0913,0.0921,1.8676,60.1541,11.1892,60.3121
21.550,48.9425,46.2643,-2.9410,-0.0370,0.2934,1.0913,0.0921,1.8669,66.9613,14.1674,67.0793
21.600,49.0191,46.4047,-2.9466,-0.0371,0.2934,1.0913,0.0921,1.8662,60.0328,11.1761,60.1924
21.650,48.9779,46.4364,-2.9522,-0.0373,0.2933,1.0913,0.0921,1.8653,66.9533,14.3183,67.0740
21.700,49.0471,46.5440,-2.9578,-0.0375,0.2933,1.0913,0.0922,1.8644,60.1422,10.8842,60.2918
21.750,49.0202,46.5025,-2.9634,-0.0378,0.2933,1.0913,0.0923,1.8634,67.0085,14.5363,67.1321
21.800,49.0442,46.5297,-2.9690,-0.0380,0.2933,1.0913,0.0924,1.8623,59.8452,10.8806,59.9991
21.850,48.9906,46.4572,-2.9746,-0.0383,0.2933,1.0913,0.0925,1.8611,66.8954,14.9301,67.0281
21.900,49.1675,46.4573,-2.9803,-0.0386,0.2933,1.0913,0.0926,1.8598,59.5355,10.6557,59.6877
21.950,49.0287,46.3967,-2.9859,-0.0389,0.2933,1.0913,0.0926,1.8584,67.0758,15.6842,67.2193
22.000,49.3020,46.4195,-2.9916,-0.0392,0.2933,1.0913,0.0927,1.8570,59.9068,10.7192,60.0553
22.050,49.3116,46.3996,-2.9972,-0.0394,0.2933,1.0913,0.0928,1.8555,67.0663,15.9914,67.2160
22.100,49.3251,46.4767,-3.0029,-0.0396,0.2933,1.0913,0.0928,1.8540,59.4940,10.8365,59.6521
22.150,49.1885,46.4312,-3.0085,-0.0398,0.2933,1.0913,0.0929,1.8523,65.4813,13.6455,65.6129
22.200,49.6575,46.6010,-3.0141,-0.0400,0.2934,1.0914,0.0929,1.8506,62.4532,12.9011,62.6194
22.250,50.6078,47.4464,-3.0197,-0.0401,0.2933,1.0914,0.0929,1.8488,61.8357,11.9641,61.9878
22.300,50.3224,47.4059,-3.0253,-0.0403,0.2933,1.0914,0.0928,1.8470,62.4870,12.5956,62.6446
22.350,50.6595,48.1617,-3.0308,-0.0405,0.2933,1.0914,0.0928,1.8452,59.3082,6.7249,59.3696
22.400,50.8059,48.0043,-3.0364,-0.0408,0.2933,1.0914,0.0927,1.8434,59.7194,6.7491,59.7788
22.450,50.3608,47.8123,-3.0420,-0.0411,0.2933,1.0914,0.0927,1.8416,60.4731,8.4571,60.5598
22.500,49.8009,47.9357,-3.0475,-0.0414,0.2933,1.0914,0.0927,1.8398,60.0491,7.0752,60.1123
22.550,50.0018,48.4131,-3.0531,-0.0417,0.2933,1.0914,0.0927,1.8380,60.0615,6.7146,60.1183
22.600,50.7613,48.4043,-3.0587,-0.0420,0.2933,1.0914,0.0927,1.8360,59.2677,5.9578,59.3160
22.650,51.0331,48.0481,-3.0643,-0.0424,0.2933,1.0914,0.0927,1.8341,59.0213,4.0800,59.0444
22.700,50.5258,48.0790,-3.0698,-0.0427,0.2933,1.0914,0.0927,1.8321,59.7414,5.1443,59.7757
22.750,50.4752,48.1689,-3.0754,-0.0429,0.2933,1.0914,0.0927,1.8301,58.9977,1.3119,59.0001
22.800,51.1621,47.9061,-3.0810,-0.0432,0.2933,1.0914,0.0927,1.8281,58.9806,2.6281,58.9903
22.850,51.5862,47.4686,-3.0866,-0.0434,0.2933,1.0914,0.0926,1.8260,59.0541,3.7098,59.0732
22.900,50.9771,47.8064,-3.0922,-0.0437,0.2933,1.0914,0.0925,1.8241,60.4197,8.9067,60.5166
22.950,50.4228,48.7023,-3.0978,-0.0440,0.2933,1.0914,0.0924,1.8222,62.1189,12.1386,62.2710
23.000,50.5734,48.8164,-3.1034,-0.0443,0.2933,1.0914,0.0924,1.8203,59.3971,7.3801,59.4705
23.050,51.2984,48.3433,-3.1090,-0.0446,0.2933,1.0914,0.0924,1.8185,62.0023,11.9775,62.1522
23.100,50.9381,48.2897,-3.1145,-0.0448,0.2933,1.0914,0.0924,1.8166,64.1593,14.0060,64.3218
23.150,49.3276,48.0960,-3.1201,-0.0450,0.2933,1.0914,0.0924,1.8147,61.3797,10.1872,61.4948
23.200,50.3958,47.9835,-3.1256,-0.0452,0.2933,1.0914,0.0924,1.8129,61.1482,8.6237,61.2324
23.250,51.4565,48.4508,-3.1312,-0.0455,0.2933,1.0914,0.0923,1.8110,62.0034,12.0975,62.1563
23.300,51.5008,48.7286,-3.1367,-0.0458,0.2933,1.0914,0.0923,1.8093,59.8834,6.9172,59.9448
23.350,51.0250,48.5138,-3.1423,-0.0461,0.2933,1.0914,0.0924,1.8076,61.5364,10.0390,61.6463
23.400,50.5813,48.4669,-3.1478,-0.0464,0.2933,1.0914,0.0924,1.8059,60.3028,6.6439,60.3571
23.450,51.4899,48.7506,-3.1534,-0.0467,0.2933,1.0914,0.0924,1.8042,59.4970,2.3062,59.5040
23.500,51.8187,48.4948,-3.1590,-0.0470,0.2933,1.0914,0.0925,1.8025,61.0996,10.0082,61.2140
23.550,51.4623,47.7953,-3.1645,-0.0472,0.2933,1.0914,0.0925,1.8009,64.4729,16.1281,64.6827
23.600,50.6447,48.5010,-3.1701,-0.0474,0.2933,1.0914,0.0925,1.7993,63.2680,12.4226,63.4086
23.650,50.5046,50.0784,-3.1756,-0.0476,0.2933,1.0914,0.0926,1.7978,58.7185,6.4630,58.7786
23.700,51.1864,49.8160,-3.1811,-0.0478,0.2933,1.0914,0.0926,1.7963,61.1440,9.0075,61.2360
23.750,52.1666,48.6511,-3.1867,-0.0479,0.2933,1.0914,0.0926,1.7948,62.5085,12.5759,62.6653
23.800,52.0250,48.2544,-3.1923,-0.0481,0.2934,1.0915,0.0925,1.7934,59.2779,8.4570,59.3756
23.850,50.5437,47.5702,-3.1979,-0.0484,0.2934,1.0915,0.0925,1.7921,67.8394,17.5819,68.0043
23.900,50.4129,48.3861,-3.2034,-0.0487,0.2934,1.0915,0.0925,1.7908,66.1263,15.5162,66.2848
23.950,51.4095,49.3537,-3.2090,-0.0490,0.2934,1.0915,0.0925,1.7897,63.7777,15.9531,64.0000
24.000,52.8388,48.1160,-3.2145,-0.0493,0.2934,1.0915,0.0924,1.7886,66.1376,17.7001,66.3461
24.050,50.4663,49.9648,-3.2201,-0.0496,0.2934,1.0915,0.0924,1.7875,67.1846,14.8087,67.3102
24.100,49.8202,50.2112,-3.2256,-0.0498,0.2934,1.0915,0.0925,1.7866,65.3771,16.6403,65.5783
